muricata,reflection
339.97,0.955870429
340.35,0.955870429
340.72,0.955870429
341.1,1.05506106
341.47,0.231379625
341.85,0.319763488
342.23,0.865538395
342.6,2.928784563
342.98,0.240514896
343.35,1.13672963
343.73,0.278160727
344.11,0.955112966
344.48,0.480347698
344.86,-2.599933174
345.23,0.650513156
345.61,-1.307474834
345.98,0.697225487
346.36,2.214939304
346.73,1.468921342
347.11,-0.515451487
347.49,0.434018181
347.86,6.841374055
348.24,0.551185454
348.61,0.785763305
348.99,-0.552944877
349.36,-0.011454355
349.74,-0.056914052
350.11,-0.098796034
350.49,-0.193838199
350.86,-0.085258024
351.24,-0.052153391
351.61,-0.151034197
351.99,-0.11212966
352.36,-0.123973916
352.74,-0.090240668
353.11,-0.125433097
353.49,-0.055829603
353.86,0.045915001
354.24,-0.040211062
354.61,-0.136842401
354.99,-0.065651592
355.36,-0.094191745
355.74,-0.080372997
356.11,-0.106968619
356.49,-0.023831275
356.86,-0.099898315
357.24,-0.099550026
357.61,-0.010805902
357.99,-0.08998456
358.36,-0.044092675
358.74,-0.112256498
359.11,-0.045402202
359.48,-0.056878173
359.86,-0.015575511
360.23,-0.031398282
360.61,-0.037159539
360.98,0.024185404
361.36,-0.109245019
361.73,-0.061988874
362.1,-0.050430115
362.48,-0.025080635
362.85,0.013107787
363.23,-0.07821927
363.6,-0.032818258
363.97,-0.062788703
364.35,-0.051122628
364.72,-0.004160924
365.1,-0.060245324
365.47,-0.008467225
365.84,-0.004988147
366.22,-0.005010651
366.59,-0.027662354
366.96,-0.022042862
367.34,-0.026467421
367.71,-0.035542509
368.09,-0.054093775
368.46,-0.049710421
368.83,-0.03840849
369.21,-0.014029731
369.58,-0.038970641
369.95,-0.021046173
370.33,-0.008278648
370.7,-0.012235869
371.07,-0.027082687
371.45,-0.017744864
371.82,-0.05293588
372.19,-0.012717682
372.57,-0.011540823
372.94,0.011230991
373.31,-0.012188977
373.69,-0.027639752
374.06,-0.035556355
374.43,-0.040669307
374.8,0.004277702
375.18,-0.015438626
375.55,0.010189149
375.92,-0.022292021
376.3,0.00064282
376.67,-0.018557893
377.04,-0.002043416
377.41,0.039061633
377.79,0.006075724
378.16,0.007547729
378.53,0.005343956
378.91,-0.006777957
379.28,0.023158628
379.65,0.005881345
380.02,0.016875658
380.4,-0.00901135
380.77,0.014949153
381.14,0.028306998
381.51,0.019247958
381.88,0.013839576
382.26,-0.0371216
382.63,-0.018215415
383,-0.009082423
383.37,0.021197924
383.75,0.038684083
384.12,-0.008997559
384.49,0.031741245
384.86,0.00194812
385.23,-0.000940907
385.61,0.022653656
385.98,0.020996882
386.35,0.025199941
386.72,0.032459363
387.09,0.028420759
387.46,0.026328517
387.84,0.011416185
388.21,0.0266213
388.58,0.038796836
388.95,0.03741533
389.32,0.025215614
389.69,0.040374949
390.07,0.030370196
390.44,0.041343428
390.81,0.029041439
391.18,0.047695655
391.55,0.042584125
391.92,0.036755327
392.29,0.035918526
392.67,0.042291487
393.04,0.045719293
393.41,0.074655744
393.78,0.033553406
394.15,0.056651214
394.52,0.046927229
394.89,0.05774197
395.26,0.042136325
395.63,0.066924019
396.01,0.050327683
396.38,0.053650883
396.75,0.056393727
397.12,0.063786878
397.49,0.045414139
397.86,0.053006548
398.23,0.061598935
398.6,0.063929145
398.97,0.063799931
399.34,0.05051886
399.71,0.063389915
400.08,0.056252504
400.45,0.059522907
400.83,0.059056533
401.2,0.053796311
401.57,0.053483592
401.94,0.060955094
402.31,0.059008187
