seagrass,ref
339.97,1.101117261
340.35,1.101117261
340.72,1.101117261
341.1,0.99644976
341.47,0.921820812
341.85,0.556707829
342.23,-0.153500129
342.6,-0.385661925
342.98,7.43690453
343.35,0.460033229
343.73,0.80199944
344.11,0.543819703
344.48,0.300091491
344.86,0.661964439
345.23,1.285196585
345.61,0.60301967
345.98,0.068335472
346.36,-0.15304032
346.73,-13.5212766
347.11,1.813987875
347.49,2.883520145
347.86,-0.019380011
348.24,0.915967461
348.61,1.47521128
348.99,-0.106622362
349.36,0.007904613
349.74,-0.010967467
350.11,-0.008811658
350.49,-0.010638946
350.86,-0.013013682
351.24,-0.011548237
351.61,-0.025514341
351.99,-0.02674193
352.36,-0.026640145
352.74,-0.015592746
353.11,-0.020131707
353.49,-0.018302569
353.86,-0.014754852
354.24,-0.011958511
354.61,-0.012989931
354.99,-0.013101074
355.36,-0.012680275
355.74,-0.00990998
356.11,-0.011155502
356.49,-0.00944044
356.86,-0.019037676
357.24,-0.020195399
357.61,-0.010018662
357.99,-0.025462386
358.36,-0.012498621
358.74,-0.01417573
359.11,-0.011918728
359.48,0.004791272
359.86,-0.000804348
360.23,-0.00167963
360.61,-0.00364097
360.98,-0.007362931
361.36,-0.009673385
361.73,-0.003226883
362.1,-0.006185472
362.48,0.002024429
362.85,-0.002941377
363.23,0.00040479
363.6,0.005187112
363.97,-0.000211817
364.35,0.006266457
364.72,0.006851657
365.1,0.005030029
365.47,0.010476588
365.84,0.009898662
366.22,0.007008222
366.59,0.00524094
366.96,0.010011896
367.34,0.010119419
367.71,0.004331858
368.09,0.008938165
368.46,0.009969912
368.83,0.009138366
369.21,0.009818763
369.58,0.014517921
369.95,0.011046408
370.33,0.012342492
370.7,0.012482669
371.07,0.007877923
371.45,0.011801386
371.82,0.010452977
372.19,0.005905532
372.57,0.006266759
372.94,0.009712594
373.31,0.009578816
373.69,0.008705973
374.06,0.011142722
374.43,0.009458105
374.8,0.007459924
375.18,0.011492844
375.55,0.0116279
375.92,0.013291008
376.3,0.014908814
376.67,0.015026315
377.04,0.013378437
377.41,0.016537256
377.79,0.011725025
378.16,0.012740663
378.53,0.015160169
378.91,0.016308689
379.28,0.014797056
379.65,0.012009383
380.02,0.015191817
380.4,0.01489267
380.77,0.01623794
381.14,0.015369511
381.51,0.011890197
381.88,0.010982004
382.26,0.012548201
382.63,0.010402678
383,0.012964605
383.37,0.009866881
383.75,0.015391936
384.12,0.012860669
384.49,0.015990399
384.86,0.016885045
385.23,0.016536275
385.61,0.016545087
385.98,0.016009094
386.35,0.014927871
386.72,0.015898831
387.09,0.016055056
387.46,0.015802326
387.84,0.015256065
388.21,0.016042873
388.58,0.016324567
388.95,0.017145909
389.32,0.019138403
389.69,0.017497231
390.07,0.017883867
390.44,0.019729681
390.81,0.019812334
391.18,0.019167082
391.55,0.019064219
391.92,0.020864511
392.29,0.019671476
392.67,0.01850354
393.04,0.017136386
393.41,0.013785911
393.78,0.014126177
394.15,0.017365292
394.52,0.018679852
394.89,0.019365907
395.26,0.01814871
395.63,0.019092018
396.01,0.020611652
396.38,0.018346162
396.75,0.018402111
397.12,0.017666116
397.49,0.019891731
397.86,0.019955704
398.23,0.020911436
398.6,0.020751538
398.97,0.021320779
399.34,0.021316727
399.71,0.021339682
400.08,0.022034728
400.45,0.021596486
400.83,0.021297021
401.2,0.020705184
401.57,0.021505885
401.94,0.021698722
402.31,0.021180558
402.68,0.020982903
403.05,0.021740312
403.42,0.022423223
403.79,0.021516625
404.16,0.021817401
404.53,0.022158305
404.9,0.021143065
405.27,0.022385741
405.64,0.021897366
406.01,0.021812088
406.38,0.022211214
406.75,0.022203077
407.12,0.02280218
407.49,0.022092781
407.86,0.021397456
408.23,0.022148081
408.6,0.022013345
408.97,0.021909929
409.34,0.021834708
409.71,0.022737931
410.08,0.021553707
410.45,0.022113395
410.81,0.021935602
411.18,0.022183449
411.55,0.022267768
411.92,0.02253903
412.29,0.02248175
412.66,0.022419493
413.03,0.022187633
413.4,0.022251792
413.77,0.022254526
414.14,0.022469897
414.51,0.021927049
414.88,0.021929629
415.25,0.022548058
415.62,0.021738085
415.98,0.022782929
416.35,0.022015133
