spectra (nm),algal lawn reflection
339.97,0.858966999
340.35,0.858966999
340.72,0.858966999
341.1,0.798650064
341.47,0.527775171
341.85,0.121128531
342.23,-0.150465027
342.6,1.741722159
342.98,1.004669657
343.35,1.183896744
343.73,1.066255302
344.11,0.775180152
344.48,1.085452295
344.86,0.808505282
345.23,2.389454032
345.61,1.694576133
345.98,0.552154791
346.36,0.986032755
346.73,0.653290784
347.11,1.358084018
347.49,1.546402848
347.86,-1.395706202
348.24,-2.345662642
348.61,-0.536424587
348.99,-0.013343105
349.36,0.040445268
349.74,0.020887878
350.11,0.022240693
350.49,0.022920798
350.86,0.026652298
351.24,0.012463642
351.61,0.019032954
351.99,0.012422182
352.36,0.010667801
352.74,0.026948964
353.11,0.008831345
353.49,0.0227014
353.86,0.017426199
354.24,0.009120168
354.61,0.010414042
354.99,0.010720145
355.36,0.02322221
355.74,0.020280839
356.11,0.01748358
356.49,0.000664335
356.86,0.016668578
357.24,0.022479792
357.61,0.015052177
357.99,-0.001797326
358.36,0.011875685
358.74,0.02024751
359.11,0.011679577
359.48,0.026945725
359.86,0.018640982
360.23,0.019796251
360.61,0.014800394
360.98,0.019021982
361.36,0.032977174
361.73,0.031115137
362.1,0.022194846
362.48,0.029940575
362.85,0.02044372
363.23,0.026223498
363.6,0.027267006
363.97,0.034456903
364.35,0.029023313
364.72,0.028929362
365.1,0.031238922
365.47,0.027991123
365.84,0.028392332
366.22,0.030894168
366.59,0.030222944
366.96,0.031242914
367.34,0.027373149
367.71,0.032354949
368.09,0.032230677
368.46,0.033134737
368.83,0.030229391
369.21,0.032031645
369.58,0.036347949
369.95,0.031779373
370.33,0.032282421
370.7,0.031860074
371.07,0.028999499
371.45,0.030292398
371.82,0.030078548
372.19,0.026900831
372.57,0.029738823
372.94,0.030612573
373.31,0.027195321
373.69,0.032216098
374.06,0.035305709
374.43,0.030488866
374.8,0.026149639
375.18,0.032328763
375.55,0.03562676
375.92,0.033510245
376.3,0.033291994
376.67,0.03612507
377.04,0.034893
377.41,0.034584543
377.79,0.035771635
378.16,0.035617127
378.53,0.03520129
378.91,0.034239861
379.28,0.033191892
379.65,0.033807761
380.02,0.034271151
380.4,0.032759097
380.77,0.036097914
381.14,0.034751684
381.51,0.034969081
381.88,0.030333357
382.26,0.035473573
382.63,0.032827077
383,0.034045748
383.37,0.032254554
383.75,0.030957669
384.12,0.035654007
384.49,0.036602875
384.86,0.040126153
385.23,0.039069026
385.61,0.036759083
385.98,0.037940464
386.35,0.03729739
386.72,0.038504381
387.09,0.036215153
