spectrum (nm),reflectance
339.97,0.894055289
340.35,0.894055289
340.72,0.894055289
341.1,1.021310422
341.47,1.172492315
341.85,1.286261852
342.23,2.154953076
342.6,-1.710446943
342.98,-0.317476521
343.35,6.076258993
343.73,0.57688433
344.11,2.426264045
344.48,-0.067808014
344.86,0.794985125
345.23,0.073122867
345.61,2.4938328
345.98,-3.629461389
346.36,-1.440276407
346.73,0.192683305
347.11,-4.94259158
347.49,1.384907988
347.86,0.939614936
348.24,0.737028732
348.61,1.301188904
348.99,-0.099553857
349.36,0.016296106
349.74,0.00829606
350.11,0.015556258
350.49,0.019925162
350.86,0.012910075
351.24,0.009769901
351.61,0.006643733
351.99,0.004429959
352.36,-0.003445239
352.74,0.01617098
353.11,0.005147218
353.49,0.009764517
353.86,0.008278141
354.24,0.017944397
354.61,0.016111584
354.99,0.0134872
355.36,0.019052043
355.74,0.016764186
356.11,0.017748678
356.49,0.010027495
356.86,0.009224319
357.24,0.006751049
357.61,0.013128136
357.99,0.016055825
358.36,0.014331353
358.74,0.016077939
359.11,0.01339489
359.48,0.031321694
359.86,0.023354339
360.23,0.021516882
360.61,0.025375029
360.98,0.02058261
361.36,0.027750902
361.73,0.025470002
362.1,0.024008322
362.48,0.027894834
362.85,0.027327284
363.23,0.028579522
363.6,0.030673505
363.97,0.034320865
364.35,0.033153076
364.72,0.038539197
365.1,0.032421604
365.47,0.033349275
365.84,0.036270861
366.22,0.030768369
366.59,0.037371548
366.96,0.037093579
367.34,0.037904961
367.71,0.036412285
368.09,0.035293562
368.46,0.035658002
368.83,0.035637643
369.21,0.039089143
369.58,0.040721024
369.95,0.036452382
370.33,0.039644093
370.7,0.03741472
371.07,0.039952114
371.45,0.040879777
371.82,0.038221712
372.19,0.037056202
372.57,0.038584234
372.94,0.037908684
373.31,0.04084437
373.69,0.037271842
374.06,0.039056635
374.43,0.039813336
374.8,0.039942719
375.18,0.039069731
375.55,0.042221747
375.92,0.042388417
376.3,0.043255129
376.67,0.046022427
377.04,0.044157242
377.41,0.043501154
377.79,0.044342161
378.16,0.045310453
378.53,0.042920473
378.91,0.044105135
379.28,0.042924304
379.65,0.043298885
380.02,0.045756831
380.4,0.04161042
380.77,0.044241589
381.14,0.042943591
381.51,0.041406667
381.88,0.040918332
382.26,0.043781579
382.63,0.039247479
383,0.037740947
383.37,0.040349637
383.75,0.04367971
384.12,0.040948895
