spectra (nm),avg. montiporadigitata
339.97,0.968582856
340.35,0.968582856
340.72,0.968582856
341.1,1.140403396
341.47,0.812773394
341.85,0.913088507
342.23,-1.720180305
342.6,-0.194340075
342.98,0.899708039
343.35,1.763891509
343.73,1.26370251
344.11,0.599969621
344.48,4.885163453
344.86,1.130621401
345.23,0.32363157
345.61,0.49127384
345.98,0.149492989
346.36,-0.187106509
346.73,-0.129954972
347.11,0.069086651
347.49,-5.08958539
347.86,-0.174870551
348.24,1.871196813
348.61,0.615749091
348.99,-0.097090885
349.36,0.006306853
349.74,0.003561389
350.11,-0.005440931
350.49,-0.002410861
350.86,-0.000953048
351.24,0.008638594
351.61,-0.007034266
351.99,-0.011845524
352.36,-0.002155046
352.74,0.002707113
353.11,-0.008913987
353.49,-0.003299725
353.86,-0.002814055
354.24,0.001868097
354.61,0.000599333
354.99,0.002141431
355.36,-0.000733866
355.74,0.000989896
356.11,0.005615678
356.49,0.000880044
356.86,0.003704129
357.24,-0.007539827
357.61,-0.003774273
357.99,0.004232843
358.36,0.004703843
358.74,-0.00259308
359.11,0.007645112
359.48,0.019522564
359.86,0.015939842
360.23,0.014970349
360.61,0.013222811
360.98,0.012498736
361.36,0.019981412
361.73,0.019915007
362.1,0.018216765
362.48,0.016943991
362.85,0.016025001
363.23,0.020855844
363.6,0.018688175
363.97,0.021204815
364.35,0.026462154
364.72,0.023947643
365.1,0.018507065
365.47,0.025225499
365.84,0.023076485
366.22,0.021712112
366.59,0.024198429
366.96,0.024691771
367.34,0.023866517
367.71,0.023422582
368.09,0.023766826
368.46,0.025735798
368.83,0.024663001
369.21,0.024846917
369.58,0.02829203
369.95,0.027120551
370.33,0.028750573
370.7,0.028279745
371.07,0.02734771
371.45,0.026268216
371.82,0.024885287
372.19,0.027598751
372.57,0.02378096
372.94,0.026907376
373.31,0.022865311
373.69,0.029818762
374.06,0.026089298
374.43,0.02734776
374.8,0.027705759
375.18,0.028027223
375.55,0.031095436
375.92,0.030094861
376.3,0.03196608
376.67,0.032455555
377.04,0.032078632
377.41,0.033083676
377.79,0.032115142
378.16,0.033930935
378.53,0.034019163
378.91,0.035984286
379.28,0.032697482
379.65,0.033126413
380.02,0.03406272
380.4,0.033238755
380.77,0.035950547
381.14,0.034974704
381.51,0.034108425
381.88,0.031787346
382.26,0.034946746
382.63,0.033036796
383,0.032970693
383.37,0.030998857
383.75,0.033452291
384.12,0.035179028
384.49,0.037807521
384.86,0.039271469
385.23,0.037572517
385.61,0.038465817
385.98,0.038039404
386.35,0.037045185
386.72,0.039612362
387.09,0.037930426
387.46,0.040718784
387.84,0.039639159
388.21,0.042179522
388.58,0.041700388
388.95,0.04330186
389.32,0.041878254
389.69,0.042427937
390.07,0.042290469
390.44,0.042926886
390.81,0.043690266
391.18,0.042316323
391.55,0.043098702
391.92,0.043520534
392.29,0.04349615
392.67,0.042654212
393.04,0.043057678
393.41,0.041247062
393.78,0.042719152
394.15,0.043243273
394.52,0.043236829
394.89,0.04541245
395.26,0.044837454
395.63,0.045414732
396.01,0.046056578
396.38,0.045251011
396.75,0.04399437
397.12,0.045054898
397.49,0.046213224
397.86,0.046245855
398.23,0.046607229
398.6,0.046735882
398.97,0.047495015
399.34,0.047295222
399.71,0.04796159
400.08,0.047700858
400.45,0.047298379
400.83,0.046911542
401.2,0.046955814
401.57,0.047068181
401.94,0.047032
402.31,0.047131665
402.68,0.046842371
403.05,0.046665257
403.42,0.046988367
403.79,0.046385782
404.16,0.046688985
404.53,0.046118733
404.9,0.046759344
405.27,0.04693856
405.64,0.047003465
406.01,0.0470844
406.38,0.046389013
406.75,0.045912393
407.12,0.046554776
407.49,0.046642391
407.86,0.046530156
408.23,0.046139772
408.6,0.045396828
408.97,0.045374614
409.34,0.045794059
409.71,0.04654344
410.08,0.04521693
410.45,0.045512986
410.81,0.04475531
411.18,0.045433412
411.55,0.045104216
411.92,0.045385318
412.29,0.045615472
412.66,0.045277632
413.03,0.045097369
413.4,0.045089045
413.77,0.044489521
414.14,0.044864484
414.51,0.045280761
414.88,0.044433194
415.25,0.045225289
415.62,0.044807932
415.98,0.0446931
416.35,0.044462787
416.72,0.045117266
417.09,0.044352016
417.46,0.044246624
417.83,0.04430244
418.2,0.044333196
418.57,0.044341614
418.94,0.044962236
419.3,0.044380937
419.67,0.044758865
420.04,0.044768497
420.41,0.044270066
420.78,0.044151733
421.15,0.044264403
421.52,0.044480342
421.88,0.044415533
422.25,0.044037124
422.62,0.044306086
422.99,0.043292039
423.36,0.043352982
423.73,0.043668867
424.09,0.044189468
424.46,0.04383725
424.83,0.043671086
425.2,0.043632485
425.57,0.043222625
425.93,0.044275389
426.3,0.043441496
426.67,0.043532604
427.04,0.043344101
427.41,0.043303193
427.77,0.043201504
428.14,0.043440684
428.51,0.043172429
428.88,0.043550387
429.24,0.043490926
429.61,0.043187168
429.98,0.043892575
430.35,0.044185335
430.72,0.044026004
431.08,0.043200953
431.45,0.043265284
431.82,0.042761928
432.18,0.043385552
432.55,0.043181731
432.92,0.043813754
433.29,0.043443235
433.65,0.043801604
434.02,0.043942962
434.39,0.043610798
434.76,0.043294264
435.12,0.043192921
435.49,0.043454558
435.86,0.043374326
436.22,0.043375144
436.59,0.043436242
436.96,0.043751625
437.32,0.043430146
437.69,0.043947844
438.06,0.043725405
438.43,0.043914599
438.79,0.043715569
439.16,0.043640837
439.53,0.043728368
439.89,0.043939263
440.26,0.043593178
440.63,0.043901167
440.99,0.04405145
441.36,0.044024316
441.72,0.04373011
442.09,0.043595801
442.46,0.043738524
442.82,0.044001216
443.19,0.043901866
443.56,0.044085878
443.92,0.04376093
444.29,0.044099123
444.66,0.043863888
445.02,0.044482041
445.39,0.044301827
445.75,0.0442795
446.12,0.044325067
446.49,0.044309124
446.85,0.044230605
447.22,0.044140728
447.58,0.044118278
447.95,0.044338831
448.31,0.044466377
448.68,0.044199951
449.05,0.044207531
449.41,0.044261055
449.78,0.0441238
450.14,0.044175664
450.51,0.044350905
450.87,0.044674074
451.24,0.044352087
451.61,0.044049091
451.97,0.044423539
452.34,0.044386248
452.7,0.044142886
453.07,0.044811295
453.43,0.04452011
453.8,0.044336518
454.16,0.044031541
454.53,0.044411849
454.89,0.044215385
455.26,0.043973831
455.62,0.044294951
455.99,0.044167103
456.35,0.044267881
456.72,0.044184495
457.08,0.044471239
457.45,0.044118698
457.81,0.043894874
458.18,0.044223044
458.54,0.044116922
458.91,0.044203643
459.27,0.044439087
459.64,0.044178555
460,0.043933612
460.36,0.044088418
460.73,0.043904643
461.09,0.044247182
461.46,0.044147087
461.82,0.043903455
462.19,0.043918224
462.55,0.044041741
462.92,0.043463548
463.28,0.044111508
463.64,0.043711912
464.01,0.044091729
464.37,0.044269302
464.74,0.043865487
465.1,0.044254839
465.46,0.044045033
465.83,0.044098596
466.19,0.044152454
466.56,0.044114625
466.92,0.044098827
467.28,0.044665822
467.65,0.044002553
468.01,0.044310765
468.38,0.044416531
468.74,0.044303776
469.1,0.044284718
469.47,0.04458091
469.83,0.044452792
470.19,0.044238973
470.56,0.044356202
470.92,0.044757602
471.28,0.044391747
471.65,0.044686314
472.01,0.044459229
472.37,0.044605011
472.74,0.045355575
473.1,0.045349474
473.46,0.045005347
473.83,0.045026813
474.19,0.045303265
474.55,0.045080302
474.92,0.045288054
475.28,0.045648333
475.64,0.045795362
476.01,0.045785046
476.37,0.045803921
476.73,0.045728056
477.09,0.045835089
477.46,0.046218137
477.82,0.046384663
478.18,0.046160925
478.54,0.046647561
478.91,0.046532735
479.27,0.046753809
479.63,0.047073826
480,0.046702469
480.36,0.046856743
480.72,0.046861512
481.08,0.047144001
481.45,0.047194257
481.81,0.047359214
482.17,0.047408072
482.53,0.047596104
482.89,0.047813282
483.26,0.047802362
483.62,0.048359946
483.98,0.048055317
484.34,0.048056435
484.7,0.048432698
485.07,0.048383194
485.43,0.04839534
485.79,0.048647371
486.15,0.04862151
486.51,0.04829326
486.88,0.048440707
487.24,0.04861323
487.6,0.048298072
487.96,0.049028467
488.32,0.04905686
488.68,0.048770606
489.05,0.04916557
489.41,0.049100953
489.77,0.049412694
490.13,0.049509213
490.49,0.049620108
490.85,0.049914178
491.21,0.049552539
491.58,0.049605018
491.94,0.049431821
492.3,0.049744689
492.66,0.04997943
493.02,0.050131768
493.38,0.050141492
493.74,0.050449607
494.1,0.050642758
494.47,0.050920098
494.83,0.051053441
495.19,0.051193401
495.55,0.051137391
495.91,0.051255432
496.27,0.051462752
496.63,0.051631595
496.99,0.051721537
497.35,0.051892049
497.71,0.051778789
498.07,0.051713378
498.43,0.051788096
498.79,0.051786772
499.15,0.051971455
499.52,0.052279239
499.88,0.052025173
500.24,0.052251503
500.6,0.052250475
500.96,0.052287698
501.32,0.052301559
501.68,0.052390783
502.04,0.052325905
502.4,0.052708965
502.76,0.052824674
503.12,0.052915625
503.48,0.052961105
503.84,0.053085987
504.2,0.053149239
504.56,0.053489104
504.92,0.053847812
505.28,0.054220145
505.64,0.054680262
506,0.055009896
506.36,0.054861294
506.72,0.05494936
507.08,0.054955115
507.44,0.054962292
507.8,0.054926635
508.15,0.055117082
508.51,0.055455206
508.87,0.055918831
509.23,0.056045797
509.59,0.056247396
509.95,0.056110185
510.31,0.056418547
510.67,0.05679778
511.03,0.056965668
511.39,0.05726938
511.75,0.057784902
512.11,0.05755035
512.47,0.057211685
512.83,0.057453818
513.18,0.057469878
513.54,0.057342645
513.9,0.0575898
514.26,0.0573414
514.62,0.057736997
514.98,0.057914454
515.34,0.057987633
515.7,0.058272045
516.05,0.057799409
516.41,0.05745588
516.77,0.056954862
517.13,0.056999874
517.49,0.056999898
517.85,0.057286071
518.21,0.057352021
518.56,0.057921029
518.92,0.058181293
519.28,0.058601769
519.64,0.05922978
520,0.05924553
520.36,0.059615048
520.71,0.059771491
521.07,0.059915913
521.43,0.060280179
521.79,0.060531415
522.15,0.060319361
522.5,0.060195511
522.86,0.060478543
523.22,0.060631144
523.58,0.060909487
523.94,0.061593129
524.29,0.061563135
524.65,0.061759336
525.01,0.061974215
525.37,0.061727367
525.72,0.061634915
526.08,0.061235949
526.44,0.060961479
526.8,0.060670224
527.15,0.060929078
527.51,0.061236208
527.87,0.061705478
528.23,0.062223122
528.58,0.06276191
528.94,0.063310322
529.3,0.063519709
529.66,0.06354156
530.01,0.063641547
530.37,0.064096571
530.73,0.064441596
531.08,0.064398247
531.44,0.064600883
531.8,0.064265409
532.15,0.064022436
532.51,0.063904828
532.87,0.063877356
533.23,0.064235156
533.58,0.064777383
533.94,0.064815594
534.3,0.065314215
534.65,0.065614495
535.01,0.066063846
535.37,0.066490205
535.72,0.066552564
536.08,0.066772408
536.43,0.066347251
536.79,0.06640504
537.15,0.066824164
537.5,0.066850772
537.86,0.067468909
538.22,0.068040366
538.57,0.067970528
538.93,0.067860012
539.29,0.067999424
539.64,0.068118497
540,0.068025224
540.35,0.068039457
540.71,0.06845595
541.07,0.06870416
541.42,0.069168953
541.78,0.069696227
542.13,0.069870998
542.49,0.070445068
542.84,0.070744877
543.2,0.071127785
543.56,0.071280978
543.91,0.072216353
544.27,0.072404651
544.62,0.072907093
544.98,0.073122771
545.33,0.073562952
545.69,0.073812226
546.04,0.074164654
546.4,0.074725181
546.75,0.074908097
547.11,0.075493726
547.47,0.075650105
547.82,0.07638305
548.18,0.07667807
548.53,0.077554229
548.89,0.078004355
549.24,0.078418104
549.6,0.078979563
549.95,0.079564397
550.31,0.079978589
550.66,0.080692299
551.02,0.080992062
551.37,0.081713491
551.72,0.082661364
552.08,0.083113836
552.43,0.083476225
552.79,0.084139063
553.14,0.084831384
553.5,0.085465175
553.85,0.086304348
554.21,0.087400406
554.56,0.087613497
554.92,0.088502419
555.27,0.089353995
555.62,0.089748957
555.98,0.090266566
556.33,0.091041954
556.69,0.091621783
557.04,0.092039373
557.4,0.092794726
557.75,0.093394256
558.1,0.09450929
558.46,0.094991822
558.81,0.095604549
