spectra (nm),reflection 
339.97,-0.333333333
340.35,-0.333333333
340.72,-0.333333333
341.1,1.24375828
341.47,1.227406255
341.85,1.432693236
342.23,1.348378894
342.6,1.227438265
342.98,1.300478014
343.35,1.062490551
343.73,1.05128989
344.11,1.165487252
344.48,1.032913684
344.86,0.880210685
345.23,0.950013531
345.61,0.911263142
345.98,1.239527503
346.36,1.525205439
346.73,1.28235857
347.11,0.870134776
347.49,1.125041489
347.86,1.493032358
348.24,1.168653038
348.61,1.722860411
348.99,0.175584299
349.36,0.080228603
349.74,0.067363585
350.11,0.05467285
350.49,0.058341129
350.86,0.061818916
351.24,0.060524488
351.61,0.055726745
351.99,0.052567272
352.36,0.052341974
352.74,0.059940621
353.11,0.046226555
353.49,0.050941972
353.86,0.04728586
354.24,0.043182175
354.61,0.047656247
354.99,0.048109642
355.36,0.046324771
355.74,0.046642347
356.11,0.049028266
356.49,0.048993601
356.86,0.046717233
357.24,0.050652877
357.61,0.050263416
357.99,0.049946233
358.36,0.053059565
358.74,0.046857825
359.11,0.045756112
359.48,0.05284361
359.86,0.049358381
360.23,0.048901414
360.61,0.045442413
360.98,0.044557734
361.36,0.043011165
361.73,0.043183992
362.1,0.043446261
362.48,0.044855455
362.85,0.04340324
363.23,0.04269438
363.6,0.044833963
363.97,0.043410762
364.35,0.044016843
364.72,0.046120447
365.1,0.041242194
365.47,0.043605276
365.84,0.043145318
366.22,0.041542175
366.59,0.040767972
366.96,0.042654529
367.34,0.040993434
367.71,0.04145348
368.09,0.043887982
368.46,0.041230694
368.83,0.04350407
369.21,0.043525471
369.58,0.042563372
369.95,0.039126807
370.33,0.038903411
370.7,0.040672577
371.07,0.043613274
371.45,0.040341675
371.82,0.041848943
372.19,0.039480116
372.57,0.04060518
372.94,0.040073671
373.31,0.043089881
373.69,0.042897405
374.06,0.042821284
374.43,0.041527704
374.8,0.041635609
375.18,0.041788334
375.55,0.040371725
375.92,0.039338462
376.3,0.039380134
376.67,0.039269484
377.04,0.040683672
377.41,0.039958188
377.79,0.039015769
378.16,0.039175644
378.53,0.038227087
378.91,0.040399094
379.28,0.038515563
379.65,0.038657212
380.02,0.039618316
380.4,0.037807899
380.77,0.04051523
381.14,0.038553229
381.51,0.039441199
381.88,0.039316212
382.26,0.040804824
382.63,0.041559616
383,0.042335452
383.37,0.039695594
383.75,0.038511614
384.12,0.039853048
384.49,0.037778997
384.86,0.039987038
385.23,0.040972123
385.61,0.038914389
385.98,0.039014036
386.35,0.038201406
386.72,0.038351621
387.09,0.038738309
387.46,0.03853738
387.84,0.038685164
388.21,0.036494229
388.58,0.037567466
388.95,0.037371643
389.32,0.038037298
389.69,0.037919854
390.07,0.037644628
390.44,0.03698846
390.81,0.037874133
391.18,0.037224039
391.55,0.038612535
391.92,0.03794299
392.29,0.039656696
392.67,0.038755549
393.04,0.040779073
393.41,0.039256244
393.78,0.039668715
394.15,0.03787794
394.52,0.037235614
394.89,0.036533937
395.26,0.037217417
395.63,0.037587314
396.01,0.039019097
396.38,0.03828266
396.75,0.037673884
397.12,0.037630509
397.49,0.036657277
397.86,0.036090188
398.23,0.036573169
398.6,0.035769555
398.97,0.035850607
399.34,0.036515798
399.71,0.036190684
400.08,0.035902512
400.45,0.035679952
400.83,0.036374913
401.2,0.035720856
401.57,0.034859952
401.94,0.035661987
402.31,0.035097901
402.68,0.034478948
403.05,0.035671823
403.42,0.034985003
403.79,0.035143439
404.16,0.035150726
404.53,0.034939485
404.9,0.035283419
405.27,0.034649933
405.64,0.034634386
406.01,0.034651083
406.38,0.035157443
406.75,0.034321579
407.12,0.034465108
407.49,0.034452282
407.86,0.034703068
408.23,0.033930557
408.6,0.034008415
408.97,0.033455105
409.34,0.033749224
409.71,0.034344452
410.08,0.034210289
410.45,0.034148396
410.81,0.03336301
411.18,0.03321067
411.55,0.033777742
411.92,0.032867193
412.29,0.033452582
412.66,0.033199797
413.03,0.033408027
413.4,0.033727072
413.77,0.032865669
414.14,0.032968532
414.51,0.033228516
414.88,0.033023513
415.25,0.032647705
415.62,0.032665587
415.98,0.032558257
416.35,0.032569334
