spectra (nm),reflection
339.97,-0.333333333
340.35,-0.333333333
340.72,-0.333333333
341.1,-0.202289611
341.47,-0.103155662
341.85,0.692239355
342.23,0.777847505
342.6,0.814161087
342.98,1.109542238
343.35,0.906051238
343.73,0.630919109
344.11,0.685360943
344.48,1.45237148
344.86,1.02003289
345.23,0.685089545
345.61,1.096481794
345.98,0.668132226
346.36,0.527973802
346.73,0.619768574
347.11,0.82788591
347.49,0.663509247
347.86,0.754241859
348.24,0.564457218
348.61,1.422170422
348.99,0.114809518
349.36,0.085773679
349.74,0.047233699
350.11,0.035836558
350.49,0.030938379
350.86,0.02654854
351.24,-0.001788218
351.61,0.02704242
351.99,0.019409885
352.36,0.031455834
352.74,0.028453608
353.11,0.0045942
353.49,0.022627025
353.86,-0.008293179
354.24,-0.005728506
354.61,0.013389405
354.99,0.022407422
355.36,0.009701761
355.74,0.009744084
356.11,0.039173937
356.49,0.007688877
356.86,0.011671664
357.24,0.019748719
357.61,0.010264149
357.99,0.004875297
358.36,0.009741296
358.74,0.004702802
359.11,0.002409225
359.48,0.041087701
359.86,0.03748188
360.23,0.03150421
360.61,0.01558608
360.98,-0.000213336
361.36,0.019265329
361.73,0.015236388
362.1,0.008318058
362.48,0.00773904
362.85,0.015800295
363.23,0.016786352
363.6,0.014158364
363.97,0.017340408
364.35,0.009781077
364.72,0.021662482
365.1,0.009885617
365.47,0.01962451
365.84,0.015703537
366.22,0.009251721
366.59,0.008201458
366.96,0.017979604
367.34,0.006374816
367.71,0.015597785
368.09,0.005474266
368.46,0.027547242
368.83,0.011621681
369.21,0.01051318
369.58,0.014764821
369.95,0.018555842
370.33,0.014837664
370.7,0.011585373
371.07,0.022364132
371.45,0.013831473
371.82,0.013904228
372.19,0.010922691
372.57,0.008811041
372.94,0.003679397
373.31,0.02033345
373.69,0.006393747
374.06,0.01285709
374.43,0.010806197
374.8,0.015021881
375.18,0.017043722
375.55,0.019861228
375.92,0.013063896
376.3,0.016960933
376.67,0.010781517
377.04,0.014371048
377.41,0.015960899
377.79,0.011643943
378.16,0.010237152
378.53,0.0144906
378.91,0.016831455
379.28,0.017795748
379.65,0.013637919
380.02,0.017731238
380.4,0.012796408
380.77,0.014173492
381.14,0.011112098
381.51,0.013184461
381.88,0.013535307
382.26,0.017300767
382.63,0.005985842
383,0.012279306
383.37,0.01257781
383.75,0.013304191
384.12,0.012162298
384.49,0.014642752
384.86,0.016816841
385.23,0.010141527
385.61,0.014832436
385.98,0.015570746
386.35,0.00433939
386.72,0.007708184
387.09,0.005838801
387.46,0.011916492
387.84,0.014001762
388.21,0.012023382
388.58,0.009625033
388.95,0.016858834
389.32,0.009615998
389.69,0.011668911
390.07,0.009938964
390.44,0.011424079
390.81,0.014495138
391.18,0.011934109
391.55,0.01074389
391.92,0.013453941
392.29,0.01567386
392.67,0.010590953
393.04,0.006266202
393.41,0.005063216
393.78,0.012420211
394.15,0.011200617
394.52,0.010777496
394.89,0.007709066
395.26,0.012175924
395.63,0.009216064
396.01,0.015527806
396.38,0.014041789
396.75,0.011323325
397.12,0.013303873
397.49,0.0128908
397.86,0.010814243
398.23,0.011420501
398.6,0.00908848
398.97,0.009520371
399.34,0.011137967
399.71,0.011438724
400.08,0.012495998
400.45,0.009202455
400.83,0.012032988
401.2,0.010499325
401.57,0.010627387
401.94,0.009401329
402.31,0.010459872
402.68,0.010311579
403.05,0.012052035
403.42,0.010354394
403.79,0.010310682
404.16,0.010317282
404.53,0.007148228
404.9,0.010322844
405.27,0.009572623
405.64,0.010851469
406.01,0.010566886
406.38,0.007951937
406.75,0.009200508
407.12,0.009837214
407.49,0.009091067
407.86,0.008809929
408.23,0.00925477
408.6,0.00973675
408.97,0.00836505
409.34,0.010999269
409.71,0.009136286
410.08,0.010628938
410.45,0.011015503
410.81,0.010668791
411.18,0.008346544
411.55,0.008360566
411.92,0.009734789
412.29,0.009434646
412.66,0.009118249
413.03,0.008722394
413.4,0.010750121
413.77,0.009822723
414.14,0.011910294
414.51,0.010196548
414.88,0.009597645
415.25,0.008224512
415.62,0.010046915
415.98,0.008234093
