spectra (nm),reflection
339.97,-0.333333333
340.35,-0.333333333
340.72,-0.333333333
341.1,0.265399922
341.47,0.232377361
341.85,0.714233004
342.23,0.725774483
342.6,1.106465616
342.98,0.684465909
343.35,0.648005187
343.73,0.98803947
344.11,0.654726075
344.48,0.706454929
344.86,0.725774483
345.23,1.114633735
345.61,0.810938195
345.98,0.977968106
346.36,0.611880907
346.73,0.805558172
347.11,0.6613306
347.49,0.811288567
347.86,0.598153136
348.24,0.631477334
348.61,1.010294744
348.99,0.224714407
349.36,0.113766681
349.74,0.050582938
350.11,0.065897539
350.49,0.087748788
350.86,0.064694305
351.24,0.033851377
351.61,0.056931713
351.99,0.051938816
352.36,0.031679194
352.74,0.095936692
353.11,0.051426796
353.49,0.039934957
353.86,0.032454914
354.24,0.057900048
354.61,0.028914617
354.99,0.046357486
355.36,0.022524745
355.74,0.045804282
356.11,0.064592107
356.49,0.046339535
356.86,0.047342009
357.24,0.050128072
357.61,0.050021167
357.99,0.046036569
358.36,0.029423362
358.74,0.026202034
359.11,0.050649503
359.48,0.086020055
359.86,0.032897738
360.23,0.058875321
360.61,0.020301339
360.98,0.035844912
361.36,0.047554163
361.73,0.034710718
362.1,0.04021325
362.48,0.037544562
362.85,0.048786683
363.23,0.022642186
363.6,0.043947667
363.97,0.032938933
364.35,0.032055739
364.72,0.044513343
365.1,0.04784633
365.47,0.021495342
365.84,0.035841357
366.22,0.030086622
366.59,0.028227183
366.96,0.029675414
367.34,0.025844835
367.71,0.026348782
368.09,0.032247465
368.46,0.033331171
368.83,0.03192221
369.21,0.025011619
369.58,0.023662688
369.95,0.024918491
370.33,0.019468712
370.7,0.031935746
371.07,0.028202814
371.45,0.020037039
371.82,0.027698105
372.19,0.03725883
372.57,0.026821171
372.94,0.02495078
373.31,0.025721913
373.69,0.024387697
374.06,0.031909121
374.43,0.021179732
374.8,0.029838908
375.18,0.023387726
375.55,0.040401032
375.92,0.02258708
376.3,0.020798523
376.67,0.033491516
377.04,0.023786018
377.41,0.021302125
377.79,0.025485513
378.16,0.02531037
378.53,0.019631666
378.91,0.025954456
379.28,0.018190994
379.65,0.016336019
380.02,0.027530907
380.4,0.018985487
380.77,0.027254846
381.14,0.018354655
381.51,0.027924751
381.88,0.021680389
382.26,0.0303782
382.63,0.026141216
383,0.034655794
383.37,0.02535065
383.75,0.021547211
384.12,0.028135262
384.49,0.017618434
384.86,0.020529939
385.23,0.027030661
385.61,0.022420544
385.98,0.023749496
386.35,0.02294731
386.72,0.017647426
387.09,0.017371099
387.46,0.020432906
387.84,0.019325474
388.21,0.022705574
388.58,0.016426508
388.95,0.023352639
389.32,0.021366374
389.69,0.016186776
390.07,0.018916342
390.44,0.019287861
390.81,0.019911442
391.18,0.02106735
391.55,0.016765414
391.92,0.019750436
392.29,0.021976014
392.67,0.019320042
393.04,0.020051549
393.41,0.019256565
393.78,0.022225851
394.15,0.022779526
394.52,0.016124711
394.89,0.018574584
395.26,0.021511713
395.63,0.018626581
396.01,0.020549829
396.38,0.020719516
396.75,0.027753389
397.12,0.019117251
397.49,0.021825587
397.86,0.016851654
398.23,0.020144942
398.6,0.01624831
398.97,0.020430413
399.34,0.016256679
399.71,0.017757938
400.08,0.019527976
400.45,0.018334551
400.83,0.018546739
401.2,0.017419781
401.57,0.015680027
401.94,0.019630475
402.31,0.016638552
402.68,0.016816271
403.05,0.014453292
403.42,0.018119333
403.79,0.016013153
404.16,0.016810487
404.53,0.018366986
404.9,0.018249696
405.27,0.016216313
405.64,0.017190836
406.01,0.016519005
406.38,0.016850066
406.75,0.016502267
407.12,0.017151215
407.49,0.01921059
407.86,0.01831455
408.23,0.018145222
408.6,0.016742933
408.97,0.014683571
409.34,0.015809003
409.71,0.016282367
410.08,0.017446325
410.45,0.019056986
410.81,0.016505746
411.18,0.017108675
411.55,0.016156518
411.92,0.017044786
412.29,0.01624813
412.66,0.016991184
413.03,0.015342872
413.4,0.016279609
413.77,0.015189245
414.14,0.016729997
414.51,0.01540119
414.88,0.015382238
415.25,0.014704462
415.62,0.017110981
415.98,0.015280164
416.35,0.014630877
