spectra (nm),reflection
339.97,-0.333333333
340.35,-0.333333333
340.72,-0.333333333
341.1,0.343964978
341.47,0.183623223
341.85,1.004804542
342.23,0.8827009
342.6,1.549061535
342.98,0.840221232
343.35,0.813560852
343.73,1.489101796
344.11,0.809810859
344.48,0.908429232
344.86,1.073437795
345.23,1.033267565
345.61,0.909154291
345.98,1.148440664
346.36,0.795803067
346.73,1.127407076
347.11,0.93871613
347.49,0.649671848
347.86,0.875589345
348.24,0.717202201
348.61,1.112839855
348.99,0.202243351
349.36,0.129545999
349.74,0.084451232
350.11,0.059356022
350.49,0.067797609
350.86,0.074164418
351.24,0.088443609
351.61,0.045616412
351.99,0.068584238
352.36,0.049761905
352.74,0.057668455
353.11,0.053887739
353.49,0.04890661
353.86,0.035956667
354.24,0.042049353
354.61,0.038872773
354.99,0.018913377
355.36,0.062535423
355.74,0.04960056
356.11,0.069305851
356.49,0.047576512
356.86,0.019687187
357.24,0.026707588
357.61,0.048765894
357.99,0.03621818
358.36,0.055038305
358.74,0.013674722
359.11,0.007551557
359.48,0.062099546
359.86,0.059113631
360.23,0.052688963
360.61,0.041410876
360.98,0.036284242
361.36,0.031367132
361.73,0.035952601
362.1,0.040814175
362.48,0.032904005
362.85,0.02500648
363.23,0.037741783
363.6,0.0524636
363.97,0.028235779
364.35,0.031437102
364.72,0.056113784
365.1,0.028972618
365.47,0.032793222
365.84,0.019414465
366.22,0.027969465
366.59,0.027876529
366.96,0.026596453
367.34,0.030770403
367.71,0.039734937
368.09,0.034989652
368.46,0.032521634
368.83,0.019973888
369.21,0.033473708
369.58,0.02747698
369.95,0.022310816
370.33,0.013886889
370.7,0.027406952
371.07,0.032874225
371.45,0.016887889
371.82,0.030527206
372.19,0.023496671
372.57,0.029105808
372.94,0.026147949
373.31,0.020861336
373.69,0.03285527
374.06,0.016430631
374.43,0.013940771
374.8,0.025084965
375.18,0.018843597
375.55,0.021282945
375.92,0.021525084
376.3,0.03449502
376.67,0.031433583
377.04,0.017893072
377.41,0.020859557
377.79,0.017593744
378.16,0.015613559
378.53,0.01077805
378.91,0.015763798
379.28,0.020127501
379.65,0.014620773
380.02,0.029489822
380.4,0.01964073
380.77,0.024435811
381.14,0.02081846
381.51,0.018727214
381.88,0.024798352
382.26,0.026630952
382.63,0.032154404
383,0.020589559
383.37,0.023995881
383.75,0.027838148
384.12,0.01885695
384.49,0.023642026
384.86,0.02300758
385.23,0.019381609
385.61,0.020472327
385.98,0.018172164
386.35,0.010504002
386.72,0.020839736
387.09,0.011762868
387.46,0.013500457
387.84,0.017023836
388.21,0.021494265
388.58,0.01515977
388.95,0.014090896
389.32,0.01062382
389.69,0.015864484
390.07,0.017410463
390.44,0.015721786
390.81,0.018132724
391.18,0.015869376
391.55,0.019602543
391.92,0.022771355
392.29,0.017152873
392.67,0.017903861
393.04,0.01822793
393.41,0.023896784
393.78,0.017099495
394.15,0.016947854
394.52,0.014803453
394.89,0.014671142
395.26,0.012530979
395.63,0.016690986
396.01,0.021234812
396.38,0.020072275
396.75,0.016408156
397.12,0.021414808
397.49,0.015989811
397.86,0.01617741
398.23,0.013427262
398.6,0.011883473
398.97,0.01358144
399.34,0.011639849
399.71,0.013201353
400.08,0.017254251
400.45,0.013939593
400.83,0.014172911
401.2,0.01344425
401.57,0.012183711
401.94,0.013653672
402.31,0.014704142
402.68,0.013843094
403.05,0.014402686
403.42,0.012679005
403.79,0.011264705
404.16,0.013069403
404.53,0.014410183
404.9,0.013756557
405.27,0.013558265
405.64,0.012093519
406.01,0.013481619
406.38,0.012759954
406.75,0.013434444
407.12,0.012108881
407.49,0.011426753
407.86,0.012918514
408.23,0.011869181
408.6,0.013500298
408.97,0.012746626
409.34,0.012327651
409.71,0.013671585
410.08,0.011974763
410.45,0.013998885
410.81,0.013517768
411.18,0.011595434
411.55,0.011891696
411.92,0.012119648
412.29,0.013639897
412.66,0.012561303
413.03,0.011567358
413.4,0.012506437
413.77,0.01347921
414.14,0.012938627
414.51,0.011819882
414.88,0.01092621
415.25,0.013766008
415.62,0.012154933
415.98,0.013679135
416.35,0.01121596
