spectra (nm),reflection
339.97,-1
340.35,-1
340.72,-1
341.1,3.73584242
341.47,13.66221232
341.85,1.811234867
342.23,1.790512129
342.6,0.942681521
342.98,1.411377104
343.35,4.703342367
343.73,1.529901741
344.11,1.496365322
344.48,1.708347838
344.86,1.023211233
345.23,0.841345932
345.61,1.276304797
345.98,1.406050555
346.36,1.156313965
346.73,1.087067713
347.11,0.437127935
347.49,1.746635772
347.86,0.776114936
348.24,0.941245857
348.61,1.380997852
348.99,0.652118324
349.36,0.203437401
349.74,0.025296822
350.11,0.433866379
350.49,0.333287867
350.86,0.252225344
351.24,0.226129466
351.61,0.209742102
351.99,0.477592957
352.36,0.211080031
352.74,0.125816089
353.11,0.323341671
353.49,0.44011594
353.86,0.381759884
354.24,0.222825593
354.61,0.046002405
354.99,0.234163159
355.36,0.401797072
355.74,0.250005094
356.11,0.154462709
356.49,0.346683904
356.86,0.426762997
357.24,0.412482246
357.61,0.092356899
357.99,-0.064413077
358.36,0.080000891
358.74,0.331910472
359.11,0.47391974
359.48,0.091845169
359.86,0.314785019
360.23,0.309150362
360.61,0.363199294
360.98,0.341867951
361.36,0.370227331
361.73,0.224498147
362.1,0.211468955
362.48,0.139827324
362.85,0.182032023
363.23,0.313218998
363.6,0.137081149
363.97,0.338816462
364.35,0.092948184
364.72,0.091777925
365.1,0.041824311
365.47,0.154039594
365.84,0.043147876
366.22,0.004325497
366.59,0.130742699
366.96,0.136942156
367.34,0.125228155
367.71,0.018523866
368.09,-0.014221222
368.46,0.052193636
368.83,0.097319662
369.21,0.098814844
369.58,0.166345843
369.95,0.166355095
370.33,0.258332609
370.7,0.086297172
371.07,0.25846766
371.45,0.212379305
371.82,0.149405273
372.19,0.089152257
372.57,0.067191483
372.94,0.128295877
373.31,0.134518924
373.69,0.087297272
374.06,0.186986348
374.43,0.145342515
374.8,0.188100522
375.18,0.145742648
375.55,0.160327438
375.92,0.108050873
376.3,0.153309271
376.67,0.033891149
377.04,0.232629704
377.41,0.087053512
377.79,0.07975872
378.16,0.149802833
378.53,0.113706852
378.91,0.112891779
379.28,0.192999563
379.65,0.062211001
380.02,0.171010955
380.4,0.165820394
380.77,0.108994731
381.14,0.076205616
381.51,0.107181062
381.88,0.1006448
382.26,0.209212894
382.63,0.140671656
383,0.187600058
383.37,0.154731193
383.75,0.150257991
384.12,0.249991237
384.49,0.045753707
384.86,0.140662962
385.23,0.153960658
385.61,0.154264672
385.98,-0.091306756
386.35,-8.32314E-06
386.72,0.090365802
387.09,0.079955557
387.46,0.075439228
387.84,0.073970828
388.21,0.145719108
388.58,0.097664659
388.95,0.054770845
389.32,0.05466282
389.69,0.086288905
390.07,0.091681214
390.44,0.060371659
390.81,0.006467314
391.18,0.13821326
391.55,0.07733755
391.92,0.079688778
392.29,0.057500016
392.67,0.126849426
393.04,0.109057998
393.41,0.226999049
393.78,0.085873277
394.15,0.166213568
394.52,0.105196545
394.89,0.09210234
395.26,0.066548057
395.63,0.057051063
396.01,0.127811992
396.38,0.135325295
396.75,0.069501133
397.12,0.150754242
397.49,0.068333412
397.86,0.11021789
398.23,0.112850944
398.6,0.014401401
398.97,0.004708983
399.34,0.066039268
399.71,0.020468625
400.08,0.097530206
400.45,0.030810061
400.83,0.052509552
401.2,0.042900786
401.57,0.006649214
401.94,0.044077899
402.31,0.062592274
402.68,0.065315308
403.05,0.070232133
403.42,0.085710374
403.79,0.05337339
404.16,0.063213875
404.53,0.020523636
404.9,0.012488519
405.27,0.062103608
405.64,0.047808204
406.01,0.066593688
406.38,0.037572787
406.75,0.070278149
407.12,0.068078179
407.49,0.073288119
407.86,0.062056957
408.23,0.038897003
408.6,0.036135222
408.97,0.048100739
409.34,0.088822041
409.71,0.044074641
410.08,0.05736757
410.45,0.054542735
410.81,0.04714953
411.18,0.02904869
411.55,0.043839901
411.92,0.05639798
412.29,0.047622156
412.66,0.026630881
413.03,0.033332141
413.4,0.032749501
413.77,0.006820236
414.14,0.052328139
414.51,0.039114533
414.88,0.038339649
415.25,0.030453645
415.62,0.06094721
415.98,0.038239432
416.35,0.012087335
416.72,0.035134187
417.09,0.058728691
417.46,0.035545055
417.83,0.03848414
418.2,0.032924265
418.57,0.048448208
418.94,0.041535751
419.3,0.066464478
419.67,0.0209307
420.04,0.027506615
420.41,0.028375053
420.78,0.027734866
421.15,0.051101419
421.52,0.0681581
421.88,0.028011291
422.25,0.031999442
422.62,0.037135272
422.99,0.049119773
423.36,0.039569528
423.73,0.031862181
