02_Pavona_frondifera,reflection
339.97,1.493850441
340.35,1.493850441
340.72,1.493850441
341.1,0.589994215
341.47,0.221474492
341.85,3.394040677
342.23,0.516801378
342.6,-2.377544253
342.98,1.144766722
343.35,4.061238407
343.73,0.887515048
344.11,-0.708678735
344.48,1.337831059
344.86,4.529585217
345.23,3.937272132
345.61,0.636857947
345.98,2.189836028
346.36,1.145321552
346.73,3.646943189
347.11,0.89108975
347.49,1.241599311
347.86,2.022697682
348.24,0.613152805
348.61,1.252702039
348.99,-1.437173587
349.36,-0.121177977
349.74,-0.102664088
350.11,-0.207068901
350.49,-0.036558496
350.86,-0.139273686
351.24,-0.072382927
351.61,-0.130860693
351.99,-0.134928096
352.36,-0.014189758
352.74,-0.073794922
353.11,-0.004366037
353.49,-0.039885779
353.86,-0.101503725
354.24,-0.074869596
354.61,-0.019688423
354.99,-0.085651146
355.36,-0.069090022
355.74,-0.016315341
356.11,0.001244592
356.49,-0.031686658
356.86,-0.031125434
357.24,-0.056209254
357.61,-0.07721934
357.99,-0.041593801
358.36,-0.020665138
358.74,-0.052455614
359.11,-0.065018529
359.48,-0.069557351
359.86,-0.107795012
360.23,0.019370221
360.61,-0.032878593
360.98,-0.026640724
361.36,-0.03435708
361.73,-0.037032632
362.1,0.014103006
362.48,-0.03495221
362.85,-0.030308683
363.23,-0.011984437
363.6,-0.033609212
363.97,-0.015235557
364.35,0.017850499
364.72,-0.026457672
365.1,-0.003584862
365.47,-0.031503439
365.84,0.040307654
366.22,-0.043313492
366.59,0.00056943
366.96,-0.004372588
367.34,0.000560526
367.71,0.032821067
368.09,0.014571091
368.46,-0.024200528
368.83,-0.001779223
369.21,-0.018332785
369.58,0.012323762
369.95,0.029738186
370.33,0.006139541
370.7,0.001407401
371.07,-0.010824346
371.45,-0.014074648
371.82,0.011980253
372.19,0.028599221
372.57,0.01128771
372.94,0.017197748
373.31,0.027252623
373.69,0.009160286
374.06,0.002584312
374.43,0.012335935
374.8,0.00932224
