spectra (nm),reflection
339.97,1.204189581
340.35,1.204189581
340.72,1.204189581
341.1,1.093587704
341.47,0.813026685
341.85,2.615566619
342.23,-0.889750116
342.6,0.313181056
342.98,1.698756065
343.35,0.773661943
343.73,0.963822191
344.11,1.147562693
344.48,0.981101134
344.86,3.05809273
345.23,0.545554937
345.61,0.683323402
345.98,1.166937932
346.36,0.87789457
346.73,-1.954803175
347.11,8.870879121
347.49,1.55516465
347.86,-0.478697688
348.24,-274.5594406
348.61,-1.665252271
348.99,-0.096563086
349.36,-0.015555543
349.74,-0.01594965
350.11,-0.02495895
350.49,-0.022006946
350.86,-0.009095399
351.24,-0.016775861
351.61,-0.023199356
351.99,-0.032756457
352.36,-0.031170859
352.74,-0.014872486
353.11,-0.028230522
353.49,-0.020676584
353.86,-0.028631584
354.24,-0.020249404
354.61,-0.02119926
354.99,-0.022684238
355.36,-0.021593706
355.74,-0.019190439
356.11,-0.010676573
356.49,-0.027376059
356.86,-0.020162074
357.24,-0.029779714
357.61,-0.023146601
357.99,-0.020440672
358.36,-0.019974947
358.74,-0.018763474
359.11,-0.014801011
359.48,-0.002171054
359.86,-0.006115032
360.23,-0.003157931
360.61,-0.004126197
360.98,-0.017260064
361.36,-0.00288201
361.73,-0.012275791
362.1,-0.006381179
362.48,-0.005428222
362.85,-0.003665091
363.23,-0.004803989
363.6,-0.00618039
363.97,-0.000359146
364.35,-0.000857084
364.72,0.004811573
365.1,0.000428005
365.47,0.002785982
365.84,-0.001363703
366.22,-0.004202955
366.59,0.003492651
366.96,0.003197335
367.34,-5.72492E-05
367.71,0.002031548
368.09,0.001449432
368.46,0.001957273
368.83,0.005869111
369.21,0.000305282
369.58,0.005062048
369.95,0.008557486
370.33,0.005734583
370.7,0.006898291
371.07,0.007130047
371.45,0.0053826
371.82,0.005670433
372.19,0.006657069
372.57,0.002569283
372.94,-0.000478627
373.31,0.004153378
373.69,0.009385338
374.06,0.002525836
374.43,0.002250381
374.8,0.005630417
375.18,0.003377935
375.55,0.009571494
375.92,0.007951018
376.3,0.008662011
376.67,0.009139239
377.04,0.010068748
377.41,0.009843323
377.79,0.011751104
378.16,0.010793509
378.53,0.010200079
378.91,0.013812755
379.28,0.010850763
379.65,0.011334516
380.02,0.013290817
380.4,0.012499408
380.77,0.011337096
381.14,0.011664474
381.51,0.010195635
381.88,0.009042226
382.26,0.010167077
382.63,0.009440468
383,0.010925642
383.37,0.01161653
383.75,0.009932716
384.12,0.008727836
384.49,0.012174598
384.86,0.014244398
385.23,0.015758022
385.61,0.013950147
385.98,0.014768049
386.35,0.01408168
386.72,0.01383279
387.09,0.015178265
387.46,0.014230153
387.84,0.014226227
388.21,0.016344696
388.58,0.014199061
388.95,0.015937658
389.32,0.015416196
389.69,0.015942276
390.07,0.01591524
390.44,0.01645988
390.81,0.017295033
391.18,0.01731404
391.55,0.016462852
391.92,0.016026755
392.29,0.01591296
392.67,0.01443401
393.04,0.013537653
393.41,0.010032829
393.78,0.013368618
394.15,0.016718809
394.52,0.017439747
394.89,0.016532322
395.26,0.01694891
395.63,0.015935098
396.01,0.01655918
396.38,0.017449164
396.75,0.016411564
397.12,0.015514025
397.49,0.015342942
397.86,0.016471118
398.23,0.017587706
398.6,0.016803261
398.97,0.018074236
399.34,0.018022023
399.71,0.018757191
400.08,0.018241325
400.45,0.017494973
400.83,0.018468103
401.2,0.017728825
401.57,0.018081377
401.94,0.017653553
402.31,0.01882983
402.68,0.017791996
403.05,0.017726385
403.42,0.017746457
403.79,0.017700131
404.16,0.017810514
404.53,0.01728617
404.9,0.017210252
405.27,0.016855784
405.64,0.016687665
406.01,0.017094273
406.38,0.016629651
406.75,0.017007844
407.12,0.017042179
407.49,0.01676468
407.86,0.01746129
408.23,0.016380496
408.6,0.016676844
408.97,0.015800456
409.34,0.016336204
409.71,0.017177512
410.08,0.015921267
410.45,0.016402751
410.81,0.016702714
411.18,0.016197357
411.55,0.016252071
411.92,0.016284911
412.29,0.016622452
412.66,0.016299976
413.03,0.015868702
413.4,0.016339753
413.77,0.015847604
414.14,0.015974804
414.51,0.015668881
414.88,0.015947182
415.25,0.016038611
415.62,0.016183688
415.98,0.015596918
416.35,0.015953294
416.72,0.015957321
417.09,0.016101306
417.46,0.015963726
417.83,0.015590026
418.2,0.015771459
418.57,0.016035794
418.94,0.015519148
419.3,0.015860831
419.67,0.015608062
420.04,0.015655422
420.41,0.015375116
420.78,0.016156982
421.15,0.015446682
421.52,0.015647107
421.88,0.015695584
422.25,0.015480375
422.62,0.01568332
422.99,0.015946038
423.36,0.015355867
423.73,0.015335174
424.09,0.015418994
424.46,0.015648191
424.83,0.015205596
425.2,0.01524505
425.57,0.015548674
425.93,0.015620529
426.3,0.015743855
426.67,0.015887169
427.04,0.015600566
427.41,0.015490566
427.77,0.015297037
428.14,0.015650897
428.51,0.014826273
428.88,0.015749606
429.24,0.015340982
429.61,0.015144917
429.98,0.014313339
430.35,0.015116623
430.72,0.014810826
431.08,0.014969351
431.45,0.015488468
431.82,0.015075826
432.18,0.015334988
432.55,0.015185542
432.92,0.015342872
433.29,0.015064078
433.65,0.01477839
434.02,0.015444406
434.39,0.014931063
434.76,0.0152852
435.12,0.015211726
435.49,0.014880682
435.86,0.014901018
436.22,0.015556197
436.59,0.015037533
436.96,0.01483569
437.32,0.015102792
437.69,0.015759916
438.06,0.015045906
438.43,0.015122869
438.79,0.015246441
439.16,0.015028522
439.53,0.015777771
439.89,0.015651484
440.26,0.015336104
440.63,0.015750785
440.99,0.015601134
441.36,0.015833503
441.72,0.015973395
442.09,0.015874567
442.46,0.015827779
442.82,0.016094994
443.19,0.016150691
443.56,0.015730417
443.92,0.016141383
444.29,0.016195249
444.66,0.015928137
445.02,0.016691299
445.39,0.016477003
445.75,0.016782605
446.12,0.016831045
446.49,0.016868968
446.85,0.016296164
447.22,0.017139177
447.58,0.017285264
447.95,0.017418311
448.31,0.017473194
448.68,0.017512732
449.05,0.017503084
449.41,0.017655604
449.78,0.017726727
450.14,0.017855203
450.51,0.018030701
450.87,0.018473717
451.24,0.01846915
451.61,0.018448154
451.97,0.018755755
452.34,0.018704296
452.7,0.018801532
453.07,0.018987006
453.43,0.019200416
453.8,0.019602936
454.16,0.019276348
454.53,0.019237198
454.89,0.019352851
455.26,0.01940984
455.62,0.019488264
455.99,0.019453625
456.35,0.01972189
456.72,0.01957875
457.08,0.02000218
457.45,0.019865158
457.81,0.020368064
458.18,0.020105713
458.54,0.020005954
458.91,0.020178624
459.27,0.020569757
459.64,0.020401108
460,0.020413133
460.36,0.020237468
460.73,0.020534019
461.09,0.020667882
461.46,0.020514725
461.82,0.02104462
462.19,0.020513891
462.55,0.0206109
462.92,0.020613985
463.28,0.021042541
463.64,0.020739519
464.01,0.0210204
464.37,0.021177416
464.74,0.020898587
465.1,0.021356004
465.46,0.021181923
465.83,0.021298951
466.19,0.021097808
466.56,0.021276289
466.92,0.02136443
467.28,0.021699999
467.65,0.021671239
468.01,0.021560759
468.38,0.021852503
468.74,0.02188927
469.1,0.021757557
469.47,0.021890949
469.83,0.021952368
470.19,0.021933975
470.56,0.022038385
470.92,0.021900973
471.28,0.02223359
471.65,0.022128298
472.01,0.022114815
472.37,0.02243573
472.74,0.022733735
473.1,0.022512891
473.46,0.022284117
473.83,0.022739517
474.19,0.022836315
474.55,0.022813908
474.92,0.022739245
475.28,0.022698232
475.64,0.022746442
476.01,0.022951887
476.37,0.023067858
476.73,0.0227928
477.09,0.02311325
477.46,0.023147171
477.82,0.023151099
478.18,0.023009954
478.54,0.02315206
478.91,0.023090185
479.27,0.023228148
479.63,0.02299101
480,0.023189694
480.36,0.022948144
480.72,0.022912683
481.08,0.022977433
481.45,0.02320607
481.81,0.023008353
482.17,0.023148327
482.53,0.023030455
482.89,0.02295438
483.26,0.022754054
483.62,0.023014275
483.98,0.022792619
484.34,0.022900562
484.7,0.022855746
485.07,0.022792051
485.43,0.022747311
485.79,0.022743817
486.15,0.022386946
486.51,0.022553145
486.88,0.022328262
487.24,0.022461773
487.6,0.022539405
487.96,0.022415764
488.32,0.022299086
488.68,0.022465525
489.05,0.022340905
489.41,0.022326298
489.77,0.022573364
490.13,0.022502171
490.49,0.02236276
490.85,0.022500991
491.21,0.022280904
491.58,0.022455176
491.94,0.022308041
492.3,0.022376496
492.66,0.022347062
493.02,0.022463148
493.38,0.022389268
493.74,0.02247227
494.1,0.022344796
494.47,0.022678761
494.83,0.02268155
495.19,0.022672045
495.55,0.022697491
495.91,0.022690863
496.27,0.022995069
496.63,0.023119897
496.99,0.023069597
497.35,0.023074077
497.71,0.022994986
498.07,0.023063272
498.43,0.023260242
498.79,0.023390575
499.15,0.023510687
499.52,0.023703197
499.88,0.023815869
500.24,0.023752669
500.6,0.023927395
500.96,0.024255806
501.32,0.024143277
501.68,0.02425368
502.04,0.024518156
502.4,0.024724057
502.76,0.025034096
503.12,0.025414243
503.48,0.025316699
503.84,0.025742897
504.2,0.025996168
504.56,0.026295409
504.92,0.026697497
505.28,0.027067177
505.64,0.027691113
506,0.028057133
506.36,0.028283643
506.72,0.028490751
507.08,0.028574515
507.44,0.02913705
507.8,0.029188164
508.15,0.029627424
508.51,0.030211547
508.87,0.030613048
509.23,0.031054239
509.59,0.031465959
509.95,0.031864045
510.31,0.032083438
510.67,0.032813943
511.03,0.033133486
511.39,0.033525034
511.75,0.03414631
512.11,0.034432885
512.47,0.034564286
512.83,0.034815531
513.18,0.035256116
513.54,0.035411588
513.9,0.03577462
514.26,0.036114292
514.62,0.036353926
514.98,0.036851986
515.34,0.037141001
515.7,0.037296423
516.05,0.037464801
516.41,0.037435652
516.77,0.037653698
517.13,0.037565246
517.49,0.037988297
517.85,0.038414148
518.21,0.038527745
518.56,0.039229822
518.92,0.039390062
519.28,0.039861122
519.64,0.040405301
520,0.040722332
520.36,0.041081267
520.71,0.041307437
521.07,0.041565958
521.43,0.041861079
521.79,0.042010441
522.15,0.042333812
522.5,0.04229604
522.86,0.042318386
523.22,0.04270138
523.58,0.042956794
523.94,0.043482531
524.29,0.043705466
524.65,0.043717038
525.01,0.04375971
525.37,0.044075371
525.72,0.04360483
526.08,0.04350241
526.44,0.043282432
526.8,0.043217042
527.15,0.043378186
527.51,0.043513288
527.87,0.044081263
528.23,0.044194226
528.58,0.044645139
528.94,0.04490869
529.3,0.044787338
529.66,0.044865761
530.01,0.044953226
530.37,0.045192837
530.73,0.045452103
531.08,0.045247305
531.44,0.04530586
531.8,0.045038654
532.15,0.044688953
532.51,0.04461841
532.87,0.044525326
533.23,0.044713566
533.58,0.044875965
533.94,0.044830007
534.3,0.045216028
534.65,0.045259456
535.01,0.045062442
535.37,0.045371072
535.72,0.045386413
536.08,0.045283591
536.43,0.045143649
536.79,0.045128198
537.15,0.045301876
537.5,0.045263713
537.86,0.045220356
538.22,0.045393622
538.57,0.045359134
538.93,0.045273004
539.29,0.0450703
539.64,0.045136871
540,0.045058894
540.35,0.044790171
540.71,0.044916656
541.07,0.045028019
541.42,0.045224459
541.78,0.045491786
542.13,0.045539776
542.49,0.045762352
542.84,0.045668491
543.2,0.045812634
543.56,0.045982323
543.91,0.046150138
544.27,0.046279375
544.62,0.046462484
544.98,0.046539893
545.33,0.046648124
545.69,0.046446303
546.04,0.046583754
546.4,0.046908609
546.75,0.046997641
547.11,0.046849586
547.47,0.047116511
547.82,0.047174596
548.18,0.047464741
548.53,0.047506242
548.89,0.047691273
549.24,0.047821295
549.6,0.047857009
549.95,0.047979589
550.31,0.047806795
550.66,0.047872248
551.02,0.048138461
551.37,0.048077142
551.72,0.048292205
552.08,0.048344134
552.43,0.04829603
552.79,0.048201054
553.14,0.048378863
553.5,0.048212179
553.85,0.048434443
554.21,0.048417997
554.56,0.0485062
554.92,0.048114712
555.27,0.048069306
555.62,0.047966823
555.98,0.047817931
556.33,0.047710867
556.69,0.047383233
557.04,0.047363728
557.4,0.047038217
557.75,0.046936408
558.1,0.046762691
558.46,0.046339147
558.81,0.045982463
559.17,0.04587073
559.52,0.045717178
559.87,0.045391179
560.23,0.045249953
560.58,0.044956231
560.93,0.045091367
561.29,0.044784435
561.64,0.044487689
561.99,0.04405619
562.35,0.043989291
562.7,0.043927822
563.06,0.043539785
563.41,0.043373819
563.76,0.043312874
564.12,0.043161749
564.47,0.042807495
564.82,0.042721502
565.18,0.042651905
565.53,0.042719762
565.88,0.042501797
566.23,0.042584214
566.59,0.042374436
566.94,0.042745966
567.29,0.042981517
567.65,0.04285026
568,0.042999214
568.35,0.043049909
568.71,0.043155091
569.06,0.04358432
569.41,0.043768644
569.76,0.043994776
570.12,0.044311563
570.47,0.044645051
570.82,0.0451297
571.17,0.045362419
571.53,0.046064396
571.88,0.046633322
572.23,0.04692315
572.58,0.047652287
572.94,0.048178529
573.29,0.048806776
573.64,0.049433698
573.99,0.050087785
574.34,0.050595486
574.7,0.051240985
575.05,0.051835088
575.4,0.052657013
575.75,0.053196899
576.11,0.054105507
576.46,0.054536168
576.81,0.055488453
577.16,0.055924658
577.51,0.056763696
577.86,0.057317731
578.22,0.058127045
578.57,0.058943218
578.92,0.059562298
579.27,0.06012654
579.62,0.06076044
579.97,0.061550462
580.33,0.061847115
580.68,0.062563338
581.03,0.063165836
581.38,0.063837782
581.73,0.06399348
582.08,0.064867129
582.43,0.06510008
582.78,0.065642624
