spectra (nm),
339.97,0.87417365
340.35,0.87417365
340.72,0.87417365
341.1,1.31227939
341.47,1.020582963
341.85,1.137081141
342.23,0.702691844
342.6,1.254570177
342.98,0.696590467
343.35,0.889709113
343.73,0.975937555
344.11,0.547034635
344.48,0.882262483
344.86,0.990316333
345.23,0.546437104
345.61,1.899980541
345.98,0.987132998
346.36,0.490356367
346.73,0.840526954
347.11,0.313742512
347.49,0.860019308
347.86,-0.559275107
348.24,-2.344602471
348.61,1.006022645
348.99,-0.057004376
349.36,-0.006364343
349.74,-0.006344917
350.11,-0.009562346
350.49,-0.011221667
350.86,-0.012990515
351.24,-0.01860193
351.61,-0.011640579
351.99,-0.014576887
352.36,-0.026829392
352.74,-0.013788189
353.11,-0.016973646
353.49,-0.017159737
353.86,-0.016976868
354.24,-0.013136517
354.61,-0.004706219
354.99,-0.020006651
355.36,-0.012913175
355.74,-0.010170281
356.11,-0.006978919
356.49,-0.014147916
356.86,-0.015910747
357.24,-0.010755974
357.61,-0.012073146
357.99,-0.022568316
358.36,-0.010826796
358.74,-0.018492497
359.11,-0.011235138
359.48,0.011019092
359.86,0.003318096
360.23,0.004267145
360.61,-0.003942286
360.98,-0.005664026
361.36,0.004536752
361.73,-0.000231729
362.1,-0.000108791
362.48,-0.000789697
362.85,0.001862448
363.23,0.004374141
363.6,0.002502878
363.97,0.0050818
364.35,0.006589628
364.72,0.012693012
365.1,0.004055908
365.47,0.008690814
365.84,0.006780573
366.22,0.007868591
366.59,0.006463176
366.96,0.006810804
367.34,0.010626368
367.71,0.007713703
368.09,0.011635069
368.46,0.011490015
368.83,0.008805086
369.21,0.003049271
369.58,0.013158697
369.95,0.010263069
370.33,0.012856745
370.7,0.012369701
371.07,0.015267568
371.45,0.009281447
371.82,0.006975021
372.19,0.010113979
372.57,0.010806828
372.94,0.009488995
373.31,0.006715985
373.69,0.010579423
374.06,0.007567239
374.43,0.011367126
374.8,0.009533181
375.18,0.012014793
375.55,0.017104618
375.92,0.012907097
376.3,0.011540812
376.67,0.013802473
377.04,0.014570209
377.41,0.01449314
377.79,0.01403127
378.16,0.016570736
378.53,0.016157107
378.91,0.015226686
379.28,0.017176615
379.65,0.015505884
380.02,0.017853235
380.4,0.015185212
380.77,0.01577784
381.14,0.015360613
381.51,0.012555037
381.88,0.015831797
382.26,0.01584053
382.63,0.011876079
383,0.011612082
383.37,0.012441347
383.75,0.012305201
384.12,0.013079211
384.49,0.013424485
384.86,0.015283112
385.23,0.017372309
385.61,0.017866331
385.98,0.016904474
386.35,0.016733212
386.72,0.017640804
387.09,0.01636545
387.46,0.017644165
387.84,0.016083525
388.21,0.015109445
388.58,0.017397988
388.95,0.017718469
389.32,0.018607243
389.69,0.018896366
390.07,0.018113595
390.44,0.019484273
390.81,0.018845158
391.18,0.019277842
391.55,0.017883532
391.92,0.020191526
392.29,0.019050641
392.67,0.01754666
393.04,0.018369475
393.41,0.015683877
393.78,0.01759918
394.15,0.017046616
394.52,0.020553039
394.89,0.019447612
395.26,0.019359026
395.63,0.019932533
396.01,0.018303043
396.38,0.020245823
396.75,0.019665776
397.12,0.018736829
397.49,0.01945653
397.86,0.020013072
398.23,0.020657037
398.6,0.020932891
398.97,0.020483716
399.34,0.020891838
399.71,0.021623728
400.08,0.021748485
400.45,0.020521062
400.83,0.02215577
401.2,0.021788298
401.57,0.021640734
401.94,0.021601682
402.31,0.02152862
402.68,0.022016857
403.05,0.02229371
403.42,0.021763162
403.79,0.021195428
404.16,0.021049594
404.53,0.021662606
404.9,0.021744163
405.27,0.021218679
405.64,0.021055928
406.01,0.021891203
406.38,0.021694326
406.75,0.021365794
407.12,0.022425332
407.49,0.022147968
407.86,0.02160872
408.23,0.022259564
408.6,0.021454991
408.97,0.021730098
409.34,0.022953759
409.71,0.021360138
410.08,0.021437385
410.45,0.022112008
410.81,0.02177166
411.18,0.023066428
411.55,0.0221709
411.92,0.021587926
412.29,0.02207426
412.66,0.022127836
413.03,0.021810195
413.4,0.022269962
413.77,0.022023837
414.14,0.022043322
414.51,0.021542843
414.88,0.022028828
415.25,0.022095468
415.62,0.022609286
415.98,0.022239027
416.35,0.022243112
416.72,0.022076096
417.09,0.021738868
417.46,0.022464912
417.83,0.021851491
418.2,0.021781814
418.57,0.022486236
418.94,0.022330057
419.3,0.021889801
419.67,0.021282744
420.04,0.022258513
420.41,0.021795693
420.78,0.022175176
421.15,0.02239587
421.52,0.022295364
421.88,0.022298426
422.25,0.022236584
422.62,0.022330175
422.99,0.021769316
423.36,0.021880987
423.73,0.022280753
424.09,0.022073427
424.46,0.021781179
424.83,0.022813856
425.2,0.022263971
425.57,0.02229694
425.93,0.022473552
426.3,0.022910728
426.67,0.022565427
427.04,0.022447604
427.41,0.022567136
427.77,0.022242808
428.14,0.022313079
428.51,0.022338095
428.88,0.022417406
429.24,0.022243115
429.61,0.022465061
429.98,0.022113208
430.35,0.022225688
430.72,0.021844431
431.08,0.022117184
431.45,0.021746606
431.82,0.022563555
432.18,0.022426369
432.55,0.022406965
432.92,0.022313336
433.29,0.021387473
433.65,0.021916234
434.02,0.021867966
434.39,0.022562248
434.76,0.022321526
435.12,0.022468386
435.49,0.022455805
435.86,0.022658411
436.22,0.022159828
436.59,0.021979864
436.96,0.023063427
437.32,0.022002491
437.69,0.022609549
438.06,0.022658066
438.43,0.022726595
438.79,0.022203712
439.16,0.022542475
439.53,0.022028126
439.89,0.022243191
440.26,0.022071274
440.63,0.022716569
440.99,0.022962088
441.36,0.022469045
441.72,0.022892316
442.09,0.022891495
442.46,0.023056973
442.82,0.022733843
443.19,0.022711373
443.56,0.022559701
443.92,0.022817509
444.29,0.022575716
444.66,0.022531026
445.02,0.02280246
445.39,0.022966931
445.75,0.02299611
446.12,0.022718718
446.49,0.022701053
446.85,0.022673575
447.22,0.022942748
447.58,0.022461293
447.95,0.022770309
448.31,0.022638692
448.68,0.022937525
