spectra (nm),reflection
339.97,0.915302398
340.35,0.915302398
340.72,0.915302398
341.1,1.013944043
341.47,0.724372884
341.85,-0.010488873
342.23,-4.487866109
342.6,2.168899243
342.98,1.660111778
343.35,0.67958337
343.73,1.443964853
344.11,4.255
344.48,0.492521025
344.86,1.249678415
345.23,1.902683654
345.61,2.128350934
345.98,0.509551451
346.36,-1.383961118
346.73,-0.073423252
347.11,-0.004798871
347.49,-3.480607628
347.86,-1.392340426
348.24,2.719710669
348.61,0.562306986
348.99,-0.097565516
349.36,0.011362927
349.74,0.000871491
350.11,-0.005511775
350.49,0.008121535
350.86,0.00766773
351.24,-0.001544613
351.61,0.001528016
351.99,-0.001037809
352.36,0.004424724
352.74,0.005913605
353.11,0.002095874
353.49,0.000176589
353.86,0.000315035
354.24,-0.003312262
354.61,0.003477951
354.99,0.0108351
355.36,0.006106562
355.74,0.001437129
356.11,0.00284088
356.49,0.003202642
356.86,0.000658891
357.24,-0.002404314
357.61,-0.004850478
357.99,0.003565226
358.36,0.002930145
358.74,0.005955076
359.11,0.001978422
359.48,0.024073458
359.86,0.013431132
360.23,0.009123835
360.61,0.011254739
360.98,0.006788587
361.36,0.014758561
361.73,0.011794016
362.1,0.016663742
362.48,0.013685949
362.85,0.015748506
363.23,0.019306363
363.6,0.017241872
363.97,0.020574153
364.35,0.023182737
364.72,0.027124117
365.1,0.019326499
365.47,0.029446073
365.84,0.026001792
366.22,0.020992741
366.59,0.022772896
366.96,0.017332449
367.34,0.024420375
367.71,0.020023199
368.09,0.024274828
368.46,0.022195905
368.83,0.025575995
369.21,0.027155413
369.58,0.027189802
369.95,0.026775832
370.33,0.029017071
370.7,0.029418959
371.07,0.027536168
371.45,0.029147961
371.82,0.026985935
372.19,0.024794101
372.57,0.022352247
372.94,0.023274282
373.31,0.01919037
373.69,0.022898419
374.06,0.026625843
374.43,0.025666716
374.8,0.021064719
375.18,0.023595148
375.55,0.030732102
375.92,0.030842997
376.3,0.028306159
376.67,0.027824402
377.04,0.029025663
377.41,0.031640792
377.79,0.030446315
378.16,0.030658595
378.53,0.03106878
378.91,0.033633292
379.28,0.029494385
379.65,0.030287686
380.02,0.032289137
380.4,0.032468377
380.77,0.031856993
381.14,0.028493526
381.51,0.029786157
381.88,0.030339522
382.26,0.031302394
382.63,0.028128651
383,0.024730783
383.37,0.02847833
383.75,0.028541171
384.12,0.030657949
384.49,0.032798061
384.86,0.030870014
385.23,0.031494014
385.61,0.032139297
385.98,0.032975294
386.35,0.031791212
386.72,0.031390792
387.09,0.031524072
387.46,0.03205593
387.84,0.033964351
388.21,0.031854067
388.58,0.033929346
388.95,0.033510103
389.32,0.034442927
389.69,0.033220803
390.07,0.034315342
390.44,0.03403291
390.81,0.034938842
391.18,0.034296001
391.55,0.036593301
391.92,0.033064134
392.29,0.035198452
392.67,0.031012808
393.04,0.030449049
393.41,0.031256815
393.78,0.029833773
394.15,0.033221276
394.52,0.033975255
394.89,0.033979436
395.26,0.035356646
395.63,0.035105095
396.01,0.034858998
396.38,0.035892
396.75,0.033556762
397.12,0.035081316
397.49,0.036272824
397.86,0.034695321
398.23,0.037293728
398.6,0.03609943
398.97,0.036296724
399.34,0.036341001
399.71,0.036792043
400.08,0.037750406
400.45,0.03590427
400.83,0.037757156
401.2,0.036708355
401.57,0.036935176
401.94,0.036943922
402.31,0.037552625
402.68,0.036251485
403.05,0.036852757
403.42,0.036331386
403.79,0.036126439
404.16,0.036870668
404.53,0.035786511
404.9,0.036378129
405.27,0.036410606
405.64,0.036523288
406.01,0.03647755
406.38,0.036372462
406.75,0.036138195
407.12,0.036262438
407.49,0.036261963
407.86,0.036382774
408.23,0.036551246
408.6,0.035844342
408.97,0.036077311
409.34,0.035747959
409.71,0.035683724
410.08,0.036158902
410.45,0.03556395
410.81,0.036305312
411.18,0.036403157
411.55,0.035557214
411.92,0.036491151
412.29,0.035776361
412.66,0.036039777
413.03,0.035141356
413.4,0.036090025
413.77,0.035627445
414.14,0.037025431
414.51,0.035369489
414.88,0.035713979
415.25,0.036028195
415.62,0.035873228
415.98,0.036158881
416.35,0.036377592
416.72,0.036150443
417.09,0.036178656
417.46,0.035133802
417.83,0.035382615
418.2,0.035933209
418.57,0.035611511
418.94,0.036384776
419.3,0.036065855
419.67,0.035384945
420.04,0.036275539
420.41,0.035864122
420.78,0.036527516
421.15,0.03564021
421.52,0.035248729
421.88,0.035925158
422.25,0.035248345
422.62,0.03642948
422.99,0.03649222
423.36,0.035783522
423.73,0.036130232
424.09,0.036251587
424.46,0.036018037
424.83,0.035767913
425.2,0.03603386
425.57,0.03671226
425.93,0.036073039
426.3,0.036537674
426.67,0.035952462
427.04,0.035841066
427.41,0.035319868
427.77,0.03567035
428.14,0.035772034
428.51,0.036239114
428.88,0.036168235
429.24,0.035542632
429.61,0.035762976
429.98,0.035364254
430.35,0.037042468
430.72,0.036253281
431.08,0.036399522
431.45,0.036284715
431.82,0.036618348
432.18,0.036499794
432.55,0.035817235
432.92,0.036349023
433.29,0.036095429
433.65,0.035751587
434.02,0.035995859
434.39,0.03609913
434.76,0.036005875
435.12,0.03588923
435.49,0.036268532
435.86,0.036355389
436.22,0.036814533
436.59,0.036014648
436.96,0.035955294
437.32,0.036578981
437.69,0.035866281
438.06,0.036697384
438.43,0.036938164
438.79,0.036891698
439.16,0.036823463
439.53,0.036613935
439.89,0.036211787
440.26,0.036543775
440.63,0.036919381
440.99,0.037406461
441.36,0.03693481
441.72,0.03735564
442.09,0.037443317
442.46,0.037326443
442.82,0.037218796
443.19,0.037346326
443.56,0.037304671
443.92,0.037141909
444.29,0.037822213
444.66,0.037327641
445.02,0.03748199
445.39,0.03801351
445.75,0.037862629
446.12,0.037755711
446.49,0.037926225
446.85,0.03747561
447.22,0.037903268
447.58,0.038092611
447.95,0.038419214
448.31,0.038836832
448.68,0.038204528
449.05,0.038403499
449.41,0.038315395
449.78,0.038518246
450.14,0.038655664
450.51,0.038572508
450.87,0.0393939
451.24,0.038960483
451.61,0.039218178
451.97,0.039305011
452.34,0.039124469
452.7,0.039768613
453.07,0.03966042
453.43,0.039580637
453.8,0.039725458
454.16,0.039589848
454.53,0.03961198
454.89,0.039113922
455.26,0.039623668
455.62,0.039575316
455.99,0.039843214
456.35,0.03937942
456.72,0.039775038
457.08,0.03986912
457.45,0.039570642
457.81,0.039756654
458.18,0.039812985
458.54,0.040273575
458.91,0.040363269
459.27,0.040395544
459.64,0.039955775
460,0.039835331
460.36,0.039748968
460.73,0.040115073
461.09,0.040059729
461.46,0.039809251
461.82,0.040162491
462.19,0.039752132
462.55,0.040427955
462.92,0.040071419
463.28,0.040036939
463.64,0.040072961
464.01,0.040276803
464.37,0.040425783
464.74,0.040634486
465.1,0.040101992
465.46,0.039910501
465.83,0.04003592
466.19,0.040099027
466.56,0.040372333
466.92,0.04035233
467.28,0.040307077
467.65,0.040130656
468.01,0.040074811
468.38,0.040261766
468.74,0.040384429
469.1,0.04063069
469.47,0.040340966
469.83,0.040367556
470.19,0.04010774
470.56,0.040328268
470.92,0.040543485
471.28,0.040371004
471.65,0.039922106
472.01,0.040259923
472.37,0.040225221
472.74,0.039773746
473.1,0.040283433
473.46,0.040219103
473.83,0.040386686
474.19,0.040197835
474.55,0.040537384
474.92,0.040392222
475.28,0.040541112
475.64,0.0402099
476.01,0.040413502
476.37,0.040682296
476.73,0.040395433
477.09,0.040790834
477.46,0.040919129
477.82,0.040520991
478.18,0.040656856
478.54,0.040985631
478.91,0.040624768
479.27,0.040899034
479.63,0.040664955
480,0.040778749
480.36,0.041010094
480.72,0.04104346
481.08,0.040999201
481.45,0.041040661
481.81,0.041319762
482.17,0.041418514
482.53,0.041478096
482.89,0.041215576
483.26,0.041353721
483.62,0.041825813
483.98,0.041656161
484.34,0.041830246
484.7,0.041786667
485.07,0.042079777
485.43,0.04234923
485.79,0.042369739
486.15,0.042126431
486.51,0.042301775
486.88,0.042317216
487.24,0.042560791
487.6,0.042642642
487.96,0.042844691
488.32,0.043000688
488.68,0.043148992
489.05,0.043337792
489.41,0.043285084
489.77,0.043752272
490.13,0.044043985
490.49,0.044294004
490.85,0.04431612
491.21,0.04448771
491.58,0.044674843
491.94,0.044974237
492.3,0.045229442
492.66,0.045430723
493.02,0.045648735
493.38,0.04578028
493.74,0.046022941
494.1,0.046501786
494.47,0.046586191
494.83,0.047072987
495.19,0.047171645
495.55,0.047456467
495.91,0.047770693
496.27,0.048015513
496.63,0.048140157
496.99,0.048503867
497.35,0.048868237
497.71,0.049107428
498.07,0.049241934
498.43,0.049587904
498.79,0.049884864
499.15,0.050046108
499.52,0.050667464
499.88,0.05087167
500.24,0.050912588
500.6,0.051387096
500.96,0.051675882
501.32,0.052003853
501.68,0.052229394
502.04,0.052391725
502.4,0.052874664
502.76,0.053372273
503.12,0.053540032
503.48,0.053991861
503.84,0.054340479
504.2,0.054813558
504.56,0.055218941
504.92,0.055994849
505.28,0.05620926
505.64,0.05692312
506,0.057502745
506.36,0.057863295
506.72,0.058279738
507.08,0.058351908
507.44,0.059060331
507.8,0.059564964
508.15,0.059796486
508.51,0.060441608
508.87,0.061100895
509.23,0.06190714
509.59,0.062160093
509.95,0.062666462
510.31,0.063276239
510.67,0.064056051
511.03,0.064590443
511.39,0.065337146
511.75,0.065769589
512.11,0.066451873
512.47,0.066895129
512.83,0.06725028
513.18,0.067737294
513.54,0.068530996
513.9,0.068956565
514.26,0.06954332
514.62,0.070152922
514.98,0.070668314
515.34,0.071738961
515.7,0.072235787
516.05,0.072639809
516.41,0.072924268
516.77,0.07333832
517.13,0.074006094
517.49,0.074587366
517.85,0.075139641
518.21,0.075815215
518.56,0.076780751
518.92,0.077216826
519.28,0.078098609
519.64,0.078884942
520,0.079557044
520.36,0.080270474
520.71,0.080800198
521.07,0.081571106
521.43,0.082094781
521.79,0.082549423
522.15,0.082999061
522.5,0.083245002
522.86,0.083706818
523.22,0.084431782
523.58,0.085311177
523.94,0.085566374
524.29,0.086547966
524.65,0.086910894
525.01,0.086984933
525.37,0.087321995
525.72,0.087676714
526.08,0.087475474
526.44,0.087806741
526.8,0.088107484
527.15,0.088227021
527.51,0.08877396
527.87,0.089418902
528.23,0.089912843
528.58,0.090194822
528.94,0.090815752
529.3,0.091075043
529.66,0.0914623
530.01,0.091502048
530.37,0.091702527
530.73,0.092114654
531.08,0.09249951
531.44,0.092629637
531.8,0.092753268
532.15,0.09274343
532.51,0.092642683
532.87,0.092556414
533.23,0.09300911
533.58,0.092868296
533.94,0.093519447
534.3,0.093699266
534.65,0.093820241
535.01,0.094183129
535.37,0.094319366
535.72,0.094690726
536.08,0.094354262
536.43,0.094715524
536.79,0.094386389
537.15,0.094629149
537.5,0.095028725
537.86,0.094819036
538.22,0.095092392
538.57,0.095130438
538.93,0.095257616
539.29,0.095194327
539.64,0.095009061
540,0.095303059
540.35,0.095256198
540.71,0.095331295
541.07,0.095567388
541.42,0.095757696
541.78,0.095895788
542.13,0.09599239
542.49,0.096257787
542.84,0.096258826
543.2,0.09650354
543.56,0.096689117
543.91,0.097057825
544.27,0.097219038
544.62,0.097172175
544.98,0.097651261
