spectra (nm),reflection
339.97,-0.333333333
340.35,-0.333333333
340.72,-0.333333333
341.1,1.864904552
341.47,1.141643059
341.85,1.22303207
342.23,0.96040699
342.6,1.256226054
342.98,0.963417754
343.35,0.876436274
343.73,0.984400657
344.11,1.031641056
344.48,0.971730532
344.86,1.273989899
345.23,1.115089514
345.61,0.947489009
345.98,1.258625449
346.36,1.098886706
346.73,1.264592511
347.11,0.940018108
347.49,1.123798196
347.86,1.255402161
348.24,1.427254258
348.61,1.007324806
348.99,0.170334606
349.36,0.052633371
349.74,0.039300312
350.11,0.041784517
350.49,0.040153977
350.86,0.038540776
351.24,0.03083634
351.61,0.028275706
351.99,0.02997404
352.36,0.024901105
352.74,0.035055432
353.11,0.032558217
353.49,0.028324343
353.86,0.02186005
354.24,0.018125376
354.61,0.019772384
354.99,0.027334277
355.36,0.024598521
355.74,0.025460354
356.11,0.028458028
356.49,0.02917587
356.86,0.026045828
357.24,0.025351997
357.61,0.026796604
357.99,0.021021727
358.36,0.028439743
358.74,0.024028235
359.11,0.023483785
359.48,0.032463119
359.86,0.027375019
360.23,0.027867986
360.61,0.02452867
360.98,0.025269707
361.36,0.022944101
361.73,0.02532584
362.1,0.020106867
362.48,0.024351657
362.85,0.017101931
363.23,0.020855009
363.6,0.018697129
363.97,0.020543848
364.35,0.020151996
364.72,0.022359705
365.1,0.019390547
365.47,0.019511498
365.84,0.01754905
366.22,0.019114163
366.59,0.017247661
366.96,0.017422188
367.34,0.019496971
367.71,0.019147203
368.09,0.020465767
368.46,0.016294297
368.83,0.0177962
369.21,0.018292683
369.58,0.016427068
369.95,0.016902487
370.33,0.016760279
370.7,0.017362985
371.07,0.017432459
371.45,0.0183227
371.82,0.018198922
372.19,0.019287577
372.57,0.016584351
372.94,0.019617026
373.31,0.018113311
373.69,0.015663062
374.06,0.017787226
374.43,0.015820415
374.8,0.016296389
375.18,0.016026516
375.55,0.01958575
375.92,0.016608139
376.3,0.014167497
376.67,0.017256704
377.04,0.016528242
377.41,0.015163155
377.79,0.013502547
378.16,0.0139445
378.53,0.013615837
378.91,0.014714117
379.28,0.01401874
379.65,0.01501286
380.02,0.015520654
380.4,0.016080633
380.77,0.014323415
381.14,0.01466472
381.51,0.01428243
381.88,0.016394139
382.26,0.01720911
382.63,0.017612134
383,0.016453166
383.37,0.014522356
383.75,0.015986715
384.12,0.016960721
384.49,0.015952418
384.86,0.015976343
385.23,0.016158789
385.61,0.015303745
385.98,0.016343047
386.35,0.013099376
386.72,0.014710697
387.09,0.01415219
387.46,0.013859515
387.84,0.013727136
388.21,0.014119195
388.58,0.015230298
388.95,0.014790013
389.32,0.014177899
389.69,0.013548197
390.07,0.013713603
390.44,0.013175394
390.81,0.01359078
391.18,0.013836574
391.55,0.013283983
391.92,0.014024311
392.29,0.015019517
392.67,0.012684323
393.04,0.015618074
393.41,0.014224878
393.78,0.014610951
394.15,0.014090924
394.52,0.013805929
394.89,0.012976506
395.26,0.012846002
395.63,0.013977833
396.01,0.014597263
396.38,0.013793348
396.75,0.014109572
397.12,0.014065781
397.49,0.013176299
397.86,0.011774315
398.23,0.012545842
398.6,0.012724014
398.97,0.012020446
399.34,0.011835934
399.71,0.01263882
400.08,0.011945948
400.45,0.012379621
400.83,0.012341943
401.2,0.011873673
401.57,0.011427423
401.94,0.011553135
402.31,0.011500067
402.68,0.011139826
403.05,0.011737859
403.42,0.01157418
403.79,0.011922922
404.16,0.012079137
404.53,0.011011172
404.9,0.011892241
405.27,0.011995803
405.64,0.011744386
406.01,0.011831117
406.38,0.010933449
406.75,0.011825359
407.12,0.011977634
407.49,0.012119043
407.86,0.011395375
408.23,0.011305266
408.6,0.011217922
408.97,0.010552001
409.34,0.010943893
409.71,0.011249926
410.08,0.010931172
410.45,0.011114967
410.81,0.011722413
411.18,0.011301539
411.55,0.010810931
411.92,0.010495016
412.29,0.01114508
412.66,0.010791174
413.03,0.011132282
413.4,0.010784375
413.77,0.010959674
414.14,0.011357909
414.51,0.010973553
414.88,0.010844167
415.25,0.011007217
415.62,0.010829616
415.98,0.010743848
416.35,0.010945485
