wavelength (nm),reflection
339.97,1.223508634
340.35,1.223508634
340.72,1.223508634
341.1,0.962550029
341.47,0.770522388
341.85,3.78313253
342.23,1.132495164
342.6,0.762749446
342.98,1.035192204
343.35,0.990587564
343.73,0.83345058
344.11,0.752923977
344.48,1.050789154
344.86,0.462191358
345.23,0.803678161
345.61,1.043046358
345.98,1.861376673
346.36,1.373333333
346.73,0.937818552
347.11,0.306137184
347.49,4.212903226
347.86,0.250151607
348.24,-0.054545455
348.61,-2.140909091
348.99,0.103585914
349.36,0.138599631
349.74,0.118283047
350.11,0.116981194
350.49,0.115118993
350.86,0.112811139
351.24,0.12497446
351.61,0.109007054
351.99,0.113103903
352.36,0.114166831
352.74,0.111364775
353.11,0.112077746
353.49,0.110117905
353.86,0.117210739
354.24,0.1077111
354.61,0.11857074
354.99,0.107829843
355.36,0.110731126
355.74,0.114543395
356.11,0.117563413
356.49,0.113394515
356.86,0.117396451
357.24,0.106980812
357.61,0.113498571
357.99,0.107975275
358.36,0.114920432
358.74,0.113329242
359.11,0.116471102
359.48,0.124107855
359.86,0.122954142
360.23,0.125808115
360.61,0.116166678
360.98,0.118335757
361.36,0.12622495
361.73,0.11887798
362.1,0.121489014
362.48,0.125596993
362.85,0.125810172
363.23,0.126506415
363.6,0.128481028
363.97,0.127963419
364.35,0.124575708
364.72,0.130570368
365.1,0.130627445
365.47,0.12786097
365.84,0.133104057
366.22,0.12855526
366.59,0.130487206
366.96,0.134834913
367.34,0.130375887
367.71,0.133893826
368.09,0.131155563
368.46,0.129720498
368.83,0.131226363
369.21,0.131905755
369.58,0.130954413
369.95,0.133719734
370.33,0.13411399
370.7,0.133457027
371.07,0.134652801
371.45,0.136184728
371.82,0.137550695
372.19,0.135093369
372.57,0.134160908
372.94,0.138722312
373.31,0.13702865
373.69,0.133093292
374.06,0.13720197
374.43,0.133936428
374.8,0.134252881
375.18,0.137242907
375.55,0.137953856
375.92,0.135934262
376.3,0.137389578
376.67,0.137680317
377.04,0.1375898
377.41,0.141311012
377.79,0.139177205
378.16,0.142573231
378.53,0.142423692
378.91,0.141791155
379.28,0.140012284
379.65,0.1409517
380.02,0.144881466
380.4,0.14064449
380.77,0.142440454
381.14,0.143751988
381.51,0.145682022
381.88,0.142564657
382.26,0.143720566
382.63,0.146333201
383,0.145720485
383.37,0.147942956
383.75,0.147004464
384.12,0.145722885
384.49,0.14564996
384.86,0.146832364
385.23,0.147638457
385.61,0.146645882
385.98,0.147527015
386.35,0.147793267
386.72,0.147936281
387.09,0.147672106
387.46,0.148527695
387.84,0.15006329
388.21,0.14782551
388.58,0.148483358
388.95,0.149058802
389.32,0.151672006
389.69,0.151404846
390.07,0.151735027
390.44,0.151020337
390.81,0.151008627
391.18,0.149064279
391.55,0.151029872
391.92,0.152659405
392.29,0.15418672
392.67,0.153455462
393.04,0.153540606
393.41,0.154136794
393.78,0.152432198
394.15,0.154341848
394.52,0.152793401
394.89,0.152670256
395.26,0.15557903
395.63,0.154890781
396.01,0.157495769
396.38,0.156897897
396.75,0.158258562
397.12,0.157791214
397.49,0.155959577
397.86,0.156136053
398.23,0.155884128
398.6,0.157474047
398.97,0.155935001
399.34,0.156319286
399.71,0.156600632
400.08,0.158085372
400.45,0.157337815
400.83,0.158093371
401.2,0.15817087
401.57,0.157655196
401.94,0.158771037
402.31,0.157658856
402.68,0.158789855
403.05,0.158658629
403.42,0.159841929
403.79,0.159017994
404.16,0.159687414
404.53,0.160718917
404.9,0.15885805
405.27,0.161034742
405.64,0.161127667
406.01,0.159662171
406.38,0.16001052
406.75,0.161002523
407.12,0.161153166
407.49,0.160838702
407.86,0.161488126
408.23,0.162122792
408.6,0.161822207
408.97,0.16174869
409.34,0.162694854
409.71,0.163320886
410.08,0.163729304
410.45,0.164110881
410.81,0.16315096
411.18,0.163148346
411.55,0.162962614
411.92,0.164315734
412.29,0.164825192
412.66,0.165841178
413.03,0.164224309
413.4,0.165727015
413.77,0.164271471
414.14,0.165937325
414.51,0.165307313
414.88,0.166358464
415.25,0.167516498
415.62,0.16675685
415.98,0.167319718
416.35,0.167246123
416.72,0.167645974
417.09,0.168244334
417.46,0.16871872
417.83,0.16908639
418.2,0.169677072
418.57,0.168329318
418.94,0.169356976
419.3,0.170887458
419.67,0.170104646
420.04,0.17093887
420.41,0.170281722
420.78,0.171910145
421.15,0.172376949
421.52,0.173207141
421.88,0.173237004
422.25,0.173124467
422.62,0.173425118
422.99,0.173949657
423.36,0.17495904
423.73,0.174466276
424.09,0.175543014
424.46,0.17524651
424.83,0.175495915
425.2,0.175629869
425.57,0.176214302
425.93,0.176640938
426.3,0.177303804
426.67,0.178206569
427.04,0.178110833
427.41,0.178559255
427.77,0.178890604
428.14,0.179842379
428.51,0.180526724
428.88,0.180532679
429.24,0.181741384
429.61,0.182467376
429.98,0.182252876
430.35,0.183965105
430.72,0.183194687
431.08,0.181736228
431.45,0.181867119
431.82,0.182994041
432.18,0.182664443
432.55,0.184169749
432.92,0.184301389
433.29,0.184314441
433.65,0.184672973
434.02,0.185368993
434.39,0.18605457
434.76,0.185398292
435.12,0.186173645
435.49,0.185820532
435.86,0.186120527
436.22,0.187286336
436.59,0.187287775
436.96,0.188375547
437.32,0.189072807
437.69,0.189012319
438.06,0.18971709
438.43,0.189957384
438.79,0.190504088
439.16,0.190165285
439.53,0.190948652
439.89,0.191302585
440.26,0.191180152
440.63,0.19131876
440.99,0.191741607
441.36,0.192887029
441.72,0.192741522
442.09,0.193883368
442.46,0.19290341
442.82,0.19406532
443.19,0.19484292
443.56,0.195586646
443.92,0.195701275
444.29,0.196446919
444.66,0.19738402
445.02,0.197019994
445.39,0.197397071
445.75,0.19868151
446.12,0.198962586
446.49,0.199295062
446.85,0.199537547
447.22,0.200457104
447.58,0.200505939
447.95,0.201019941
448.31,0.201620174
448.68,0.20223924
449.05,0.203287416
449.41,0.203506472
449.78,0.203537661
450.14,0.204049723
450.51,0.203580535
450.87,0.204467226
451.24,0.204913029
451.61,0.205623391
451.97,0.205797472
452.34,0.206737575
452.7,0.20834687
453.07,0.207724237
453.43,0.207895998
453.8,0.208463254
454.16,0.20870226
454.53,0.209398532
454.89,0.209084149
455.26,0.20965821
455.62,0.210863551
455.99,0.21119206
456.35,0.211778988
456.72,0.211951493
457.08,0.211369285
457.45,0.211464277
457.81,0.212335966
458.18,0.212244111
458.54,0.21390308
458.91,0.213156542
459.27,0.213622482
459.64,0.214217525
460,0.214247142
460.36,0.215042908
460.73,0.21561767
461.09,0.215950641
461.46,0.215321565
461.82,0.217457446
462.19,0.216198955
462.55,0.217221848
462.92,0.217437419
463.28,0.21717596
463.64,0.218214156
464.01,0.218289527
464.37,0.219052769
464.74,0.219550345
465.1,0.22006324
465.46,0.219240836
465.83,0.219866748
466.19,0.220425909
466.56,0.221254484
466.92,0.221263818
467.28,0.221643143
467.65,0.221310726
468.01,0.221904321
468.38,0.222908792
468.74,0.223113778
469.1,0.223337616
469.47,0.223706007
469.83,0.223773244
470.19,0.224483145
470.56,0.224353203
470.92,0.224769287
471.28,0.224650636
471.65,0.225250249
472.01,0.226568372
472.37,0.226699553
472.74,0.226975172
473.1,0.22706351
473.46,0.227781532
473.83,0.227823902
474.19,0.227822669
474.55,0.227920308
474.92,0.229417556
475.28,0.2287872
475.64,0.2301652
476.01,0.230385454
476.37,0.229696807
476.73,0.230797621
477.09,0.23138136
477.46,0.231392931
477.82,0.232184897
478.18,0.232201903
478.54,0.232963838
478.91,0.233641883
479.27,0.233641595
479.63,0.23445626
480,0.23435787
480.36,0.234055692
480.72,0.235750456
481.08,0.235659493
481.45,0.23638114
481.81,0.236517881
482.17,0.236700113
482.53,0.237736822
482.89,0.237751447
483.26,0.237953135
483.62,0.238493616
483.98,0.239231069
484.34,0.239449645
484.7,0.240226965
485.07,0.240514378
485.43,0.23989039
485.79,0.240219643
486.15,0.240480343
486.51,0.240242536
486.88,0.24174233
487.24,0.241799963
487.6,0.242550056
487.96,0.243318578
488.32,0.243772565
488.68,0.244234067
489.05,0.24512329
489.41,0.246153501
489.77,0.247036394
490.13,0.247692586
490.49,0.248175942
490.85,0.248301354
491.21,0.248625892
491.58,0.248309802
491.94,0.249248515
492.3,0.249823554
492.66,0.251129142
493.02,0.251962304
493.38,0.252353223
493.74,0.252704983
494.1,0.253582399
494.47,0.254888176
494.83,0.256228276
495.19,0.256101281
495.55,0.256203152
495.91,0.256899362
496.27,0.258076437
496.63,0.25833059
496.99,0.259278997
497.35,0.259904085
497.71,0.259209268
498.07,0.259384576
498.43,0.259221852
498.79,0.260136468
499.15,0.261026477
499.52,0.26214349
499.88,0.262332499
500.24,0.261989715
500.6,0.261468704
500.96,0.261772639
501.32,0.261735526
501.68,0.262690953
502.04,0.262780807
502.4,0.264252774
502.76,0.264929046
503.12,0.265141134
503.48,0.264830333
503.84,0.265026173
504.2,0.265302713
504.56,0.267358173
504.92,0.268326714
505.28,0.269612404
505.64,0.272100835
506,0.272662875
506.36,0.272302012
506.72,0.272434392
507.08,0.272892186
507.44,0.271930841
507.8,0.272183395
508.15,0.272891512
508.51,0.274434953
508.87,0.27535236
509.23,0.276507955
509.59,0.276622245
509.95,0.2772486
510.31,0.277400048
510.67,0.277676585
511.03,0.279364022
511.39,0.280698152
511.75,0.281302907
512.11,0.280491947
512.47,0.279998198
512.83,0.280623676
513.18,0.280426648
513.54,0.280677651
513.9,0.280747261
514.26,0.280953066
514.62,0.282268686
514.98,0.283357032
515.34,0.283638365
515.7,0.283233935
516.05,0.281747657
516.41,0.28129272
516.77,0.280752361
517.13,0.280727593
517.49,0.282029484
517.85,0.282582895
518.21,0.283210219
518.56,0.283296342
518.92,0.285848055
519.28,0.286848444
519.64,0.288239855
520,0.288883094
520.36,0.289625003
520.71,0.290032814
521.07,0.291252853
521.43,0.291696444
521.79,0.292984313
522.15,0.292107886
522.5,0.292254293
522.86,0.292686784
523.22,0.293643248
523.58,0.294982535
523.94,0.296405751
524.29,0.297364182
524.65,0.297123853
525.01,0.297808226
525.37,0.297254144
525.72,0.296951282
526.08,0.295737425
526.44,0.293771547
526.8,0.294719105
527.15,0.29512378
527.51,0.297269564
527.87,0.29874088
528.23,0.299409298
528.58,0.301233733
528.94,0.30288957
529.3,0.302209069
529.66,0.301981066
530.01,0.302902595
530.37,0.303950274
530.73,0.305400117
531.08,0.305074735
531.44,0.305496229
531.8,0.304875389
532.15,0.303238029
532.51,0.303264289
532.87,0.303176542
533.23,0.304072705
533.58,0.304831676
533.94,0.305781575
534.3,0.305765632
534.65,0.307524417
535.01,0.308768668
535.37,0.309442352
535.72,0.309658186
536.08,0.309661658
536.43,0.308586525
536.79,0.307979359
537.15,0.309339916
537.5,0.309251775
537.86,0.310403221
538.22,0.311357545
538.57,0.311205919
538.93,0.310508184
539.29,0.310976746
539.64,0.310633926
540,0.31122091
540.35,0.311188565
540.71,0.311025799
541.07,0.311353342
541.42,0.31198082
541.78,0.313096474
542.13,0.313779858
542.49,0.31408323
542.84,0.314461416
543.2,0.31452281
543.56,0.315300399
543.91,0.316425635
544.27,0.316785861
544.62,0.31701833
544.98,0.317235044
545.33,0.317812386
545.69,0.318157052
546.04,0.318443111
546.4,0.319185753
546.75,0.3201435
547.11,0.318545346
547.47,0.319920999
547.82,0.320066243
548.18,0.320639052
548.53,0.32124224
548.89,0.322308772
549.24,0.32334132
549.6,0.322446382
549.95,0.323048392
550.31,0.323306177
550.66,0.323714581
551.02,0.324056279
551.37,0.324411739
551.72,0.324885565
552.08,0.325350445
552.43,0.325217715
552.79,0.325627261
553.14,0.326617929
553.5,0.327630107
553.85,0.326966685
554.21,0.32829719
554.56,0.328657354
554.92,0.328463862
555.27,0.328720289
555.62,0.329304671
555.98,0.329247828
556.33,0.32847604
556.69,0.328336834
557.04,0.329521942
557.4,0.329646566
557.75,0.33032347
558.1,0.329615539
558.46,0.329934069
558.81,0.33022302
559.17,0.331162449
559.52,0.33006827
559.87,0.33148091
560.23,0.331843738
560.58,0.332930116
560.93,0.332480707
561.29,0.333393407
561.64,0.332905566
561.99,0.334214613
562.35,0.334475766
562.7,0.334458531
563.06,0.334046773
563.41,0.335038186
563.76,0.335099291
564.12,0.335515364
564.47,0.335920363
564.82,0.335638071
565.18,0.335204506
565.53,0.335774764
565.88,0.3353755
566.23,0.336487647
566.59,0.33688327
566.94,0.336348731
567.29,0.337049451
567.65,0.337742163
568,0.336936935
568.35,0.337002225
568.71,0.336882334
569.06,0.337400596
569.41,0.337384799
569.76,0.337979269
570.12,0.337715165
570.47,0.337209142
570.82,0.337723045
571.17,0.33784544
571.53,0.338337407
571.88,0.339307668
572.23,0.339921812
572.58,0.339943187
572.94,0.340672882
573.29,0.340228741
573.64,0.340919244
573.99,0.340088965
574.34,0.34099204
574.7,0.340398887
575.05,0.341401279
575.4,0.342140395
575.75,0.341902101
576.11,0.342448354
576.46,0.342555444
576.81,0.344216638
577.16,0.343204826
577.51,0.343171347
577.86,0.343855785
578.22,0.344026641
578.57,0.345475848
578.92,0.345422863
