spectra (nm),reflection
339.97,-0.333333333
340.35,-0.333333333
340.72,-0.333333333
341.1,-2.185804189
341.47,0.785982327
341.85,1.06982245
342.23,0.577169551
342.6,1.14740181
342.98,0.718168198
343.35,1.099828806
343.73,0.715533967
344.11,0.845306654
344.48,0.971238009
344.86,0.522427111
345.23,0.97741253
345.61,1.357502889
345.98,0.94289912
346.36,0.805409481
346.73,0.619713968
347.11,0.966981204
347.49,0.972721073
347.86,1.597594767
348.24,1.144473326
348.61,1.135990503
348.99,0.244040198
349.36,0.133091257
349.74,0.111388895
350.11,0.065451797
350.49,0.072764389
350.86,0.111758794
351.24,0.072594269
351.61,0.057916864
351.99,0.088609311
352.36,0.07674182
352.74,0.071162041
353.11,0.064851238
353.49,0.025549718
353.86,0.040802238
354.24,0.055438349
354.61,0.039762785
354.99,0.031285238
355.36,0.078781703
355.74,0.085334323
356.11,0.064222196
356.49,0.043566696
356.86,0.044962429
357.24,0.034942438
357.61,0.052517296
357.99,0.056484795
358.36,0.057325342
358.74,0.040094866
359.11,0.060421865
359.48,0.089909712
359.86,0.075301608
360.23,0.078913614
360.61,0.058477084
360.98,0.050318956
361.36,0.046668785
361.73,0.047521013
362.1,0.038623615
362.48,0.043829147
362.85,0.048886973
363.23,0.030809825
363.6,0.049853971
363.97,0.055608324
364.35,0.057470556
364.72,0.060327317
365.1,0.030787807
365.47,0.050605521
365.84,0.043934913
366.22,0.038872296
366.59,0.038234848
366.96,0.051702567
367.34,0.051319892
367.71,0.044636133
368.09,0.053621782
368.46,0.042499803
368.83,0.055896768
369.21,0.053992711
369.58,0.042593327
369.95,0.038810917
370.33,0.03357404
370.7,0.051715171
371.07,0.040520818
371.45,0.04107739
371.82,0.044205168
372.19,0.043343951
372.57,0.046639057
372.94,0.036553587
373.31,0.045682033
373.69,0.042809962
374.06,0.048741036
374.43,0.033058214
374.8,0.048009463
375.18,0.036550546
375.55,0.047966134
375.92,0.046143702
376.3,0.045833182
376.67,0.044659288
377.04,0.046467959
377.41,0.041390427
377.79,0.035424086
378.16,0.03675577
378.53,0.039279726
378.91,0.03302608
379.28,0.042992789
379.65,0.032256578
380.02,0.046355306
380.4,0.035822714
380.77,0.039966067
381.14,0.039344434
381.51,0.042829549
381.88,0.044079473
382.26,0.04724219
382.63,0.039391912
383,0.0397631
383.37,0.040707204
383.75,0.036579901
384.12,0.043145799
384.49,0.038111567
384.86,0.04973673
385.23,0.042970487
385.61,0.037222295
385.98,0.040221944
386.35,0.036742801
386.72,0.040627536
387.09,0.035239569
387.46,0.041880666
387.84,0.039265896
388.21,0.036022152
388.58,0.041596635
388.95,0.03602098
389.32,0.032879816
389.69,0.040324083
390.07,0.039951557
390.44,0.036381346
390.81,0.036107591
391.18,0.039386332
391.55,0.037727583
391.92,0.038516909
392.29,0.041058943
392.67,0.044613783
393.04,0.038753489
393.41,0.03306563
393.78,0.042519373
394.15,0.035227309
394.52,0.036468331
394.89,0.036760304
395.26,0.033082121
395.63,0.03479257
396.01,0.038853502
396.38,0.038227172
396.75,0.044638994
397.12,0.039290741
397.49,0.033254559
397.86,0.034973078
398.23,0.035448551
398.6,0.035076667
398.97,0.035470747
399.34,0.035624071
399.71,0.03626538
400.08,0.035375718
400.45,0.034941337
400.83,0.038286051
401.2,0.035440042
401.57,0.032535352
401.94,0.034765985
402.31,0.035202804
402.68,0.035567686
403.05,0.034156728
403.42,0.032549547
403.79,0.034023391
404.16,0.037472308
404.53,0.033261116
404.9,0.034419273
405.27,0.033864171
405.64,0.034520003
406.01,0.03554044
406.38,0.036390681
406.75,0.034998621
407.12,0.035028088
407.49,0.034346002
407.86,0.0347533
408.23,0.032269121
408.6,0.033488987
408.97,0.033454036
409.34,0.034059175
409.71,0.03432781
410.08,0.032706878
410.45,0.034161508
410.81,0.034162173
411.18,0.031312379
411.55,0.032011841
411.92,0.030866937
412.29,0.031690301
412.66,0.033693527
413.03,0.034112077
413.4,0.034086057
413.77,0.033315656
414.14,0.034233074
414.51,0.03188
414.88,0.033337702
415.25,0.032939995
415.62,0.032989996
415.98,0.031924319
416.35,0.033986208
