spectra (nm),reflection
339.97,-0.333333333
340.35,-0.333333333
340.72,-0.333333333
341.1,0.556446012
341.47,0.388176295
341.85,0.977125064
342.23,0.58686716
342.6,1.408154299
342.98,0.80937771
343.35,0.647892652
343.73,1.327425343
344.11,0.471369728
344.48,0.630073187
344.86,1.03092264
345.23,0.983119975
345.61,0.776833955
345.98,0.789103592
346.36,0.67495069
346.73,0.887595122
347.11,1.055294329
347.49,0.815971326
347.86,0.798399438
348.24,0.713062961
348.61,0.679510469
348.99,0.288634715
349.36,0.147938373
349.74,0.08746928
350.11,0.083671567
350.49,0.070208495
350.86,0.130044994
351.24,0.064821443
351.61,0.023188664
351.99,0.027946736
352.36,0.085630698
352.74,0.062322757
353.11,0.044391183
353.49,0.057769625
353.86,0.026259373
354.24,0.014085327
354.61,0.041458353
354.99,0.050982919
355.36,0.057383331
355.74,0.064012404
356.11,0.066427481
356.49,0.052051979
356.86,0.05180168
357.24,0.047024437
357.61,0.058553515
357.99,0.027842934
358.36,0.047526975
358.74,0.063684205
359.11,0.042762476
359.48,0.084934515
359.86,0.061190754
360.23,0.074483634
360.61,0.042191889
360.98,0.045050384
361.36,0.052288993
361.73,0.035633994
362.1,0.04053181
362.48,0.034453368
362.85,0.037262385
363.23,0.040168358
363.6,0.043813478
363.97,0.02797652
364.35,0.046251085
364.72,0.044655192
365.1,0.019656307
365.47,0.040645185
365.84,0.045168399
366.22,0.029080664
366.59,0.031312858
366.96,0.031490938
367.34,0.029304877
367.71,0.026738209
368.09,0.034419953
368.46,0.032870866
368.83,0.030976519
369.21,0.029128384
369.58,0.030187233
369.95,0.026979863
370.33,0.02167371
370.7,0.032537344
371.07,0.028912056
371.45,0.031434609
371.82,0.033990827
372.19,0.025199687
372.57,0.02175585
372.94,0.017841723
373.31,0.025862134
373.69,0.026802456
374.06,0.021109066
374.43,0.024091237
374.8,0.030278036
375.18,0.022475472
375.55,0.031698408
375.92,0.017785569
376.3,0.022422171
376.67,0.030421172
377.04,0.020530548
377.41,0.020999332
377.79,0.020019207
378.16,0.020626467
378.53,0.017346614
378.91,0.021324195
379.28,0.016297229
379.65,0.013354392
380.02,0.026367953
380.4,0.021244232
380.77,0.0196616
381.14,0.014303324
381.51,0.029160659
381.88,0.020586137
382.26,0.027075713
382.63,0.029224796
383,0.029224721
383.37,0.025681474
383.75,0.022854094
384.12,0.027668394
384.49,0.024291539
384.86,0.025899126
385.23,0.028407814
385.61,0.020681744
385.98,0.023947099
386.35,0.01764892
386.72,0.013402795
387.09,0.020250148
387.46,0.015258869
387.84,0.017821095
388.21,0.019187523
388.58,0.021530319
388.95,0.015381495
389.32,0.013981644
389.69,0.00944105
390.07,0.014044068
390.44,0.014635734
390.81,0.017188452
391.18,0.017551525
391.55,0.011706097
391.92,0.016516404
392.29,0.022908953
392.67,0.021817261
393.04,0.022169497
393.41,0.027600447
393.78,0.019235095
394.15,0.018500088
394.52,0.015759364
394.89,0.01841207
395.26,0.016493578
395.63,0.014814062
396.01,0.021416813
396.38,0.022615322
396.75,0.011571079
397.12,0.02180699
397.49,0.017032928
397.86,0.015013087
398.23,0.015441512
398.6,0.011243086
398.97,0.013584466
399.34,0.012133687
399.71,0.014583315
400.08,0.015860672
400.45,0.014666914
400.83,0.01489253
401.2,0.014104266
401.57,0.011735346
401.94,0.010484066
402.31,0.011815098
402.68,0.01050046
403.05,0.01101549
403.42,0.014026629
403.79,0.011882459
404.16,0.012658673
404.53,0.014108354
404.9,0.011999246
405.27,0.012627853
405.64,0.012085802
406.01,0.013682605
406.38,0.014467038
406.75,0.011229871
407.12,0.013402019
407.49,0.013240852
407.86,0.012223257
408.23,0.012784584
408.6,0.012772775
408.97,0.012172852
409.34,0.013204002
409.71,0.013733731
410.08,0.011283748
410.45,0.012070391
410.81,0.013497243
411.18,0.011685309
411.55,0.01047198
411.92,0.011867655
412.29,0.013579759
412.66,0.012606929
413.03,0.01193193
413.4,0.013531442
413.77,0.01237661
414.14,0.012840719
414.51,0.012249791
414.88,0.010637993
415.25,0.011757245
415.62,0.012119035
415.98,0.011550205
416.35,0.01205019
