spectra (nm),reflection
339.97,-0.333333333
340.35,-0.333333333
340.72,-0.333333333
341.1,1.043017622
341.47,0.992102326
341.85,0.872067228
342.23,1.543455242
342.6,0.839265274
342.98,1.097283622
343.35,1.753364479
343.73,1.114183074
344.11,0.961907885
344.48,0.707281138
344.86,1.446282718
345.23,1.115260073
345.61,1.106387946
345.98,0.904936779
346.36,1.114287951
346.73,1.013352254
347.11,1.451972066
347.49,0.831258044
347.86,0.868862692
348.24,0.6950733
348.61,0.82258191
348.99,0.444405516
349.36,0.20328408
349.74,0.172059262
350.11,0.148655383
350.49,0.160279101
350.86,0.185597836
351.24,0.121130082
351.61,0.091918509
351.99,0.12005374
352.36,0.083814229
352.74,0.17684039
353.11,0.136485854
353.49,0.144403966
353.86,0.121408165
354.24,0.065807419
354.61,0.074319077
354.99,0.093943663
355.36,0.080468819
355.74,0.116043872
356.11,0.10540039
356.49,0.175288119
356.86,0.055769117
357.24,0.083347147
357.61,0.093643065
357.99,0.081944146
358.36,0.137351192
358.74,0.122447375
359.11,0.1072184
359.48,0.157970613
359.86,0.094463016
360.23,0.101086728
360.61,0.065184748
360.98,0.088591147
361.36,0.12243777
361.73,0.090198955
362.1,0.105344183
362.48,0.072683248
362.85,0.039257004
363.23,0.071792727
363.6,0.065375101
363.97,0.098880695
364.35,0.086073697
364.72,0.114292213
365.1,0.073575383
365.47,0.100573061
365.84,0.063574616
366.22,0.074574159
366.59,0.074346934
366.96,0.085635269
367.34,0.061405931
367.71,0.056230532
368.09,0.069125576
368.46,0.070339792
368.83,0.077082353
369.21,0.063654806
369.58,0.061725706
369.95,0.07310466
370.33,0.067104331
370.7,0.079518521
371.07,0.075604788
371.45,0.06520711
371.82,0.058797713
372.19,0.061481446
372.57,0.069273971
372.94,0.062251252
373.31,0.057031115
373.69,0.060043159
374.06,0.067880521
374.43,0.065797808
374.8,0.057235686
375.18,0.061657417
375.55,0.071577881
375.92,0.070908221
376.3,0.067094226
376.67,0.058361155
377.04,0.048182396
377.41,0.058463562
377.79,0.042885301
378.16,0.043576523
378.53,0.041724537
378.91,0.06340179
379.28,0.049352122
379.65,0.040696993
380.02,0.062652472
380.4,0.052857062
380.77,0.0550218
381.14,0.060399625
381.51,0.04685526
381.88,0.057670563
382.26,0.065946066
382.63,0.050397301
383,0.064333137
383.37,0.062622467
383.75,0.055122912
384.12,0.059276599
384.49,0.049758327
384.86,0.054798074
385.23,0.066412306
385.61,0.047246423
385.98,0.053266609
386.35,0.039632796
386.72,0.058408818
387.09,0.0513379
387.46,0.045728972
387.84,0.043993683
388.21,0.03766309
388.58,0.052266668
388.95,0.048761087
389.32,0.038362106
389.69,0.045901148
390.07,0.04658693
390.44,0.052572369
390.81,0.04477326
391.18,0.045185451
391.55,0.036596178
391.92,0.046798416
392.29,0.048398595
392.67,0.044590933
393.04,0.053424715
393.41,0.059566219
393.78,0.056444038
394.15,0.053554166
394.52,0.042388215
394.89,0.050559962
395.26,0.047371535
395.63,0.042998612
396.01,0.048491976
396.38,0.046985383
396.75,0.051325927
397.12,0.051678203
397.49,0.039022602
397.86,0.043856702
398.23,0.040229035
398.6,0.039029535
398.97,0.042552519
399.34,0.038802026
399.71,0.041281131
400.08,0.04425857
400.45,0.04734366
400.83,0.045366594
401.2,0.0419973
401.57,0.041128415
401.94,0.04518853
402.31,0.045023436
402.68,0.041961537
403.05,0.040046342
403.42,0.043184357
403.79,0.041673316
404.16,0.04395016
404.53,0.044415363
404.9,0.04488257
405.27,0.042987466
405.64,0.044136245
406.01,0.040595407
406.38,0.040704583
406.75,0.041322588
407.12,0.042241931
407.49,0.043621689
407.86,0.045398121
408.23,0.044301395
408.6,0.042909963
408.97,0.041552824
409.34,0.042688835
409.71,0.045957428
410.08,0.04062663
410.45,0.044963298
410.81,0.045352577
411.18,0.041257231
411.55,0.041502424
411.92,0.039937265
412.29,0.04393702
412.66,0.041419384
413.03,0.043130642
413.4,0.041778605
413.77,0.04277952
414.14,0.042754401
414.51,0.045913037
414.88,0.041267298
415.25,0.043875203
415.62,0.043937273
415.98,0.04423022
416.35,0.041264606
