spectra (nm),reflection
339.97,-1
340.35,-1
340.72,-1
341.1,3.643965517
341.47,19.52184466
341.85,1.885125485
342.23,2.162705667
342.6,1.395292988
342.98,1.654676259
343.35,5.985634477
343.73,1.597664652
344.11,1.239711625
344.48,1.951300578
344.86,1.509958462
345.23,0.936425468
345.61,0.521872187
345.98,1.386044591
346.36,0.93611206
346.73,1.125644407
347.11,0.754858887
347.49,1.923163208
347.86,2.543578947
348.24,0.90474537
348.61,1.819993358
348.99,0.910213378
349.36,0.415359304
349.74,0.297629952
350.11,0.31655644
350.49,0.662632862
350.86,0.240418118
351.24,0.223577236
351.61,0.558312326
351.99,0.334596725
352.36,0.455936199
352.74,0.048587166
353.11,0.204238453
353.49,0.256979085
353.86,0.36756238
354.24,0.237302431
354.61,0.295095925
354.99,0.328000684
355.36,0.319089017
355.74,0.207983193
356.11,0.294856954
356.49,0.042496417
356.86,0.051951332
357.24,0.298157359
357.61,0.171918236
357.99,0.389370386
358.36,0.045487332
358.74,0.014877729
359.11,0.483446444
359.48,0.402486848
359.86,0.418346875
360.23,0.096343587
360.61,0.046379299
360.98,0.19554936
361.36,0.215412707
361.73,0.191054666
362.1,0.224399004
362.48,0.431645518
362.85,0.265608639
363.23,0.169828891
363.6,0.257077114
363.97,0.086575968
364.35,0.044576841
364.72,0.293520026
365.1,0.189781022
365.47,0.24332516
365.84,0.144472774
366.22,0.241013382
366.59,0.287860057
366.96,0.019841971
367.34,0.18716134
367.71,0.332631521
368.09,0.227799017
368.46,0.269989728
368.83,0.188726583
369.21,0.112203646
369.58,0.12871168
369.95,0.092916872
370.33,0.023382599
370.7,0.121700946
371.07,0.15875033
371.45,0.402467738
371.82,0.135962877
372.19,0.188310164
372.57,0.2557125
372.94,0.197943515
373.31,0.248294679
373.69,0.130865582
374.06,0.113610245
374.43,0.17594811
374.8,0.228981015
375.18,0.140197587
375.55,0.127180604
375.92,0.251620057
376.3,0.251048038
376.67,0.163446605
377.04,0.031685706
377.41,0.167649925
377.79,0.098739704
378.16,0.107587789
378.53,0.068932226
378.91,0.147857323
379.28,0.153541377
379.65,0.061808265
380.02,0.223606838
380.4,0.121700946
380.77,0.205716227
381.14,0.148508911
381.51,0.183762454
381.88,0.178067049
382.26,0.118326924
382.63,0.178925017
383,0.169324324
383.37,0.18428831
383.75,0.096437033
384.12,0.076510698
384.49,0.20546072
384.86,0.143455811
385.23,0.209633037
385.61,0.170931158
385.98,0.14891329
386.35,0.059402795
386.72,0.06029846
387.09,0.170165275
387.46,0.092000772
387.84,0.241513958
388.21,0.150789367
388.58,0.056620263
388.95,0.158043274
389.32,0.104626813
389.69,0.058588802
390.07,0.117177554
390.44,0.135387145
390.81,0.094107878
391.18,0.146347116
391.55,0.118209771
391.92,0.10804311
392.29,0.118831296
392.67,0.162366944
393.04,0.102757305
393.41,0.068581466
393.78,0.08997927
394.15,0.193491597
394.52,0.155082995
394.89,0.117671782
395.26,0.10583166
395.63,0.024822017
396.01,0.151240928
396.38,0.075383055
396.75,0.108972979
397.12,0.102888743
397.49,0.141705426
397.86,0.06500739
398.23,0.089151368
398.6,0.11439239
398.97,0.080606623
399.34,0.087103855
399.71,0.106355647
400.08,0.099167012
400.45,0.063209619
400.83,0.068877228
401.2,0.060752006
401.57,0.078740589
401.94,0.085493081
402.31,0.074887945
402.68,0.08344238
403.05,0.072256991
403.42,0.091008851
403.79,0.052164285
404.16,0.099190496
404.53,0.049091009
404.9,0.07233866
405.27,0.05563152
405.64,0.06876562
406.01,0.086232181
406.38,0.086071568
406.75,0.083613035
407.12,0.065926126
407.49,0.116531647
407.86,0.089917928
408.23,0.101758245
408.6,0.080868708
408.97,0.064924073
409.34,0.109374904
409.71,0.08622555
410.08,0.06517042
410.45,0.095962149
410.81,0.095628313
411.18,0.049778788
411.55,0.044968424
411.92,0.054217
412.29,0.064195042
412.66,0.105648122
413.03,0.105707046
413.4,0.078264441
413.77,0.072530872
414.14,0.060390307
414.51,0.066121658
414.88,0.071731462
415.25,0.109524415
415.62,0.062436265
415.98,0.082186469
416.35,0.079311126
416.72,0.094005512
417.09,0.053483525
417.46,0.078031539
417.83,0.058003222
418.2,0.103075322
418.57,0.078185954
418.94,0.079495147
419.3,0.093131215
419.67,0.089005849
420.04,0.087660028
420.41,0.066112982
420.78,0.073504299
421.15,0.087060711
421.52,0.082503982
421.88,0.094975487
422.25,0.082627088
422.62,0.10986269
422.99,0.08879309
423.36,0.067208506
423.73,0.102948104
424.09,0.078916802
