spectra (nm),reflection
339.97,-1
340.35,-1
340.72,-1
341.1,1.376254181
341.47,-1.445022288
341.85,2.427935094
342.23,1.88579068
342.6,1.36697861
342.98,0.798311445
343.35,10.80213904
343.73,0.785134291
344.11,0.781869
344.48,1.637737311
344.86,0.911807103
345.23,0.305052107
345.61,1.399914457
345.98,0.754728878
346.36,0.917286432
346.73,1.238644995
347.11,0.442292863
347.49,1.708159287
347.86,1.90040107
348.24,0.152136007
348.61,0.613977486
348.99,1.340674362
349.36,0.186291855
349.74,0.366709102
350.11,0.172096493
350.49,0.104831039
350.86,0.216080064
351.24,0.300804094
351.61,0.196680685
351.99,0.195008319
352.36,0.33335167
352.74,0.06182861
353.11,0.211729363
353.49,0.127654532
353.86,0.289952296
354.24,0.334326369
354.61,0.174527112
354.99,-0.06919519
355.36,0.269709361
355.74,0.089706013
356.11,0.095892083
356.49,0.064776232
356.86,0.166628779
357.24,0.352140078
357.61,-0.014480821
357.99,0.388049279
358.36,0.172150411
358.74,-0.009439341
359.11,0.399025482
359.48,0.38283208
359.86,0.502035204
360.23,0.133359163
360.61,0.130976431
360.98,0.216323858
361.36,0.213713586
361.73,0.441974567
362.1,0.164490173
362.48,0.258310096
362.85,0.353239358
363.23,0.233645638
363.6,0.210546513
363.97,0.160806045
364.35,-0.012075423
364.72,0.160196187
365.1,0.004664413
365.47,0.121966239
365.84,0.20356624
366.22,0.271241127
366.59,0.176024577
366.96,0.235160481
367.34,0.182600105
367.71,0.152508809
368.09,0.221014285
368.46,0.242053582
368.83,0.072374978
369.21,0.216767351
369.58,0.214296482
369.95,0.221171148
370.33,0.195689137
370.7,0.244679338
371.07,0.183534006
371.45,0.265890863
371.82,0.206065025
372.19,0.35174808
372.57,0.208762383
372.94,0.174579396
373.31,0.314813796
373.69,0.220120499
374.06,0.290329999
374.43,0.193544413
374.8,0.105257461
375.18,0.137873754
375.55,0.067482251
375.92,0.275529915
376.3,0.210717269
376.67,0.040186534
377.04,0.216221098
377.41,0.168266681
377.79,0.124601559
378.16,0.204345134
378.53,0.169386535
378.91,0.13251305
379.28,0.290005508
379.65,0.206774207
380.02,0.156875
380.4,0.264184481
380.77,0.168320981
381.14,0.215253497
381.51,0.160545302
381.88,0.309316858
382.26,0.165314967
382.63,0.316626932
383,0.296491722
383.37,0.137993852
383.75,0.179339403
384.12,0.240361032
384.49,0.222013818
384.86,0.192478818
385.23,0.199379542
385.61,0.200275371
385.98,0.202923155
386.35,0.181692907
386.72,0.197776574
387.09,0.198429706
387.46,0.050754367
387.84,0.225879361
388.21,0.189866157
388.58,0.129641516
388.95,0.257252191
389.32,0.204476557
389.69,0.172236253
390.07,0.22722404
390.44,0.153845189
390.81,0.23223019
391.18,0.206899923
391.55,0.142721764
391.92,0.200596114
392.29,0.171173582
392.67,0.288918663
393.04,0.182495849
393.41,0.180862755
393.78,0.169697829
394.15,0.178121485
394.52,0.166659037
394.89,0.169587139
395.26,0.194617275
395.63,0.148494062
396.01,0.160687764
396.38,0.203482492
396.75,0.191626551
397.12,0.16647998
397.49,0.178728752
397.86,0.260163976
398.23,0.154406324
398.6,0.265049954
398.97,0.239887862
399.34,0.202790272
399.71,0.205586619
400.08,0.216200848
400.45,0.200827438
400.83,0.2410046
401.2,0.228371341
401.57,0.201973794
401.94,0.19230502
402.31,0.206191134
402.68,0.166324717
403.05,0.227522223
403.42,0.202411594
403.79,0.208599099
404.16,0.179649923
404.53,0.210719949
404.9,0.162617316
405.27,0.214092006
405.64,0.196558621
406.01,0.185498316
406.38,0.194006952
406.75,0.190772098
407.12,0.175354673
407.49,0.240284663
407.86,0.186180311
408.23,0.197082049
408.6,0.22417796
408.97,0.195270748
409.34,0.210938904
409.71,0.165038528
410.08,0.213984442
410.45,0.184138945
410.81,0.2122976
411.18,0.187499232
411.55,0.182941636
411.92,0.21065343
412.29,0.206175189
412.66,0.183079892
413.03,0.202662261
413.4,0.212160784
413.77,0.198778815
414.14,0.237287948
414.51,0.198823923
414.88,0.197875253
415.25,0.222710364
415.62,0.2160544
415.98,0.208036814
416.35,0.239612611
416.72,0.234736515
417.09,0.194821517
417.46,0.220688345
417.83,0.19519342
418.2,0.187249437
418.57,0.195782587
418.94,0.244805815
419.3,0.189504584
419.67,0.205002314
420.04,0.193767788
420.41,0.200304537
420.78,0.189388379
421.15,0.208320924
421.52,0.198834651
421.88,0.219833548
422.25,0.191723576
422.62,0.217888131
422.99,0.176893516
423.36,0.197608229
423.73,0.227171994
424.09,0.198495982
