spectra (nm),reflection
339.97,1.46875
340.35,1.46875
340.72,1.46875
341.1,1.7541
341.47,1.02597
341.85,2.4
342.23,-9.95
342.6,1.66667
342.98,1.12903
343.35,0.16667
343.73,1.51572
344.11,11.28571
344.48,0.73408
344.86,0.86598
345.23,1.34351
345.61,-3.30303
345.98,0.52041
346.36,1.35922
346.73,0.98214
347.11,0.9557
347.49,0.84163
347.86,0.90728
348.24,0.67308
348.61,1.20796
348.99,-3
349.36,-0.00162
349.74,-0.31276
350.11,0.02677
350.49,0.11177
350.86,0.22682
351.24,0.0102
351.61,-0.08581
351.99,-0.07156
352.36,0.16532
352.74,0.09692
353.11,-0.14377
353.49,-0.1105
353.86,-0.02384
354.24,-0.00342
354.61,0.01907
354.99,0.0736
355.36,0.09456
355.74,-0.14035
356.11,0.09857
356.49,-0.01101
356.86,-0.04107
357.24,-0.14228
357.61,-0.0562
357.99,-0.03075
358.36,-0.16015
358.74,-0.06965
359.11,-0.01744
359.48,-0.18413
359.86,-0.01537
360.23,-0.02868
360.61,-0.09038
360.98,0.10771
361.36,0.00719
361.73,0.05845
362.1,0.1024
362.48,-0.10745
362.85,0.01
363.23,0.09745
363.6,0.0159
363.97,0.03045
364.35,-0.04836
364.72,0.07173
365.1,-0.01695
365.47,-0.00093
365.84,-0.0725
366.22,-0.03424
366.59,0.04319
366.96,-0.00171
367.34,0.0448
367.71,0.0522
368.09,0.05381
368.46,-0.01257
368.83,0.02995
369.21,0.05346
369.58,0.06324
369.95,0.12395
370.33,-0.04646
370.7,0.02719
371.07,-0.01053
371.45,-0.04214
371.82,0.02723
372.19,-0.06687
372.57,-0.03566
372.94,0.03805
373.31,0.07052
373.69,0.047
374.06,-0.03548
374.43,0.03512
374.8,0.08542
375.18,-0.00151
375.55,0.05471
375.92,0.04012
376.3,0.06784
376.67,0.04545
377.04,0.09468
377.41,0.06521
377.79,0.03945
378.16,0.09278
378.53,0.10951
378.91,0.03325
379.28,0.04413
379.65,0.02926
380.02,0.06875
380.4,0.05466
380.77,0.0442
381.14,0.04597
381.51,0.04272
381.88,0.03487
382.26,0.0445
382.63,0.01147
383,0.01549
383.37,0.01444
383.75,0.0543
384.12,0.09421
384.49,-0.00972
384.86,0.10233
385.23,0.11215
385.61,0.07469
385.98,0.05749
386.35,0.06172
386.72,0.05697
387.09,0.05416
387.46,0.04751
387.84,0.07125
388.21,0.09757
388.58,0.02062
388.95,0.0184
389.32,0.07907
389.69,0.02525
390.07,0.10039
390.44,0.0414
390.81,0.09649
391.18,0.09161
391.55,0.05654
391.92,0.06156
392.29,0.06937
392.67,0.0651
393.04,0.04141
393.41,0.03149
393.78,-0.01452
394.15,0.05025
394.52,0.0764
394.89,0.08102
395.26,0.06726
395.63,0.09594
396.01,0.05103
396.38,0.05516
396.75,0.03869
397.12,0.00877
397.49,0.04207
397.86,0.05848
398.23,0.05856
398.6,0.08269
398.97,0.11667
399.34,0.07194
399.71,0.06206
400.08,0.07163
400.45,0.07754
400.83,0.07442
401.2,0.09129
401.57,0.07337
401.94,0.07173
402.31,0.07444
402.68,0.05531
403.05,0.06985
403.42,0.07349
403.79,0.08119
404.16,0.07736
404.53,0.0826
404.9,0.06788
405.27,0.08394
405.64,0.07201
406.01,0.07918
406.38,0.08368
406.75,0.08558
407.12,0.09142
407.49,0.10516
407.86,0.07319
408.23,0.07538
408.6,0.06733
408.97,0.06563
409.34,0.07104
409.71,0.06532
410.08,0.08404
410.45,0.08265
410.81,0.05739
411.18,0.07617
411.55,0.05859
411.92,0.06965
412.29,0.08013
412.66,0.05938
413.03,0.07548
413.4,0.08335
413.77,0.07043
414.14,0.08734
414.51,0.07823
414.88,0.0664
415.25,0.05309
415.62,0.06778
415.98,0.06891
416.35,0.07927
416.72,0.07298
